sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.271776944651545360142550047144,24,190.0,317.0,224.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.903239286801323622152749211863,25,191.0,321.0,221.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.326574557112233220207908949264,26,191.0,321.0,223.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.163232219908762745101479299532,27,192.0,318.0,224.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.210021748264134600783561347781,28,190.0,320.0,226.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.331314193572176559583949916977,29,188.0,314.0,225.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.789085770715677936072113475990,30,193.0,318.0,231.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.471361204011599355582589641954,31,190.0,318.0,231.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.246473953056707291577209018115,32,189.0,315.0,235.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.312852620485611164641391535740,33,192.0,315.0,227.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.581084323790958600022660830482,34,191.0,316.0,233.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.985681836586997820904577616183,35,187.0,316.0,226.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.129031764348746556335677769034,36,186.0,314.0,234.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.274759019869200273519314837436,37,187.0,314.0,229.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.339392904930983465941380380634,38,184.0,314.0,230.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.468746802132400038788230522353,39,190.0,312.0,232.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.304587250637385061890165531169,40,188.0,318.0,233.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.804300254595933724315320263639,41,189.0,315.0,233.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.202897842501160733027556717891,42,187.0,314.0,232.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.125538413289809441261927124346,43,187.0,308.0,233.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.222126084901123327610441871392,44,187.0,314.0,232.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.294503862681024670223748594062,45,194.0,322.0,237.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.170065404477791825507769991787,46,190.0,324.0,238.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.235917278317867779545601985825,47,197.0,325.0,240.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.241116805698779936638430752246,48,195.0,321.0,239.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.124665219519006605446690485252,49,191.0,325.0,235.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.234233720445474144202646324705,50,191.0,319.0,232.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.195408954591551642919864250240,51,196.0,320.0,235.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.822042004141784981662187422585,52,191.0,322.0,226.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.162765898625714710833290925884,53,192.0,318.0,226.0,348.0
