sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.734885933008522048239983593153,173,304.0,322.0,336.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.192462080128656726915200807668,174,304.0,324.0,335.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.678709352521698129741648048390,175,305.0,324.0,338.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.197433680503228714138775299957,176,301.0,320.0,341.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.288424248490126296760534478060,177,299.0,322.0,339.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.244112182440344579746458192037,178,299.0,320.0,340.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.122774681354438173054669231660,179,300.0,320.0,337.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.784763642597391278943643269887,180,305.0,322.0,337.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.161457083184001956293821483135,181,292.0,319.0,342.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.300904631732874201846928385996,182,294.0,316.0,337.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.210858362599969641977979280886,183,301.0,318.0,338.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236755744346521961086522668096,184,299.0,319.0,341.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.118623702852011336664266991165,185,299.0,315.0,337.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.498925211791467102450724175562,186,298.0,316.0,343.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219273397984160525814848722810,187,294.0,312.0,342.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.208795465995871227053440730485,188,297.0,318.0,344.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.259281891028177436609307589597,189,302.0,318.0,340.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.189267404114270292518070581317,190,300.0,315.0,342.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.190930046559670167402470298854,191,301.0,314.0,349.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.438132841301440992018755381275,192,294.0,313.0,344.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.334592520984434778544372281252,193,296.0,315.0,345.0,358.0
