sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.123159614393884348976921810687,217,285.0,315.0,324.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.166680676333628695971731434916,218,281.0,313.0,327.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.148983116789945405796549677577,219,284.0,311.0,318.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.126974576781078620287943671374,220,282.0,311.0,321.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323998136854491768536384268663,221,283.0,314.0,320.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.652403828825502138622491106661,222,284.0,315.0,323.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100118207746364904025888629700,223,286.0,313.0,323.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115879204300663691237728700763,224,279.0,316.0,319.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.490178212881335228444355165327,225,281.0,309.0,327.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.287458750965214581965375296276,226,281.0,309.0,323.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.269642564274142443549224425775,227,278.0,311.0,321.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.329234552419524889398432609227,228,284.0,308.0,330.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.910779020677149776422202644509,229,281.0,312.0,325.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110177269180466717178345355724,230,281.0,310.0,325.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.150119740524545256399690334592,231,281.0,311.0,331.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.129267175889045284521350755420,232,277.0,308.0,325.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110387314838307443583420304807,233,282.0,307.0,323.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.260826004906028879996714620813,234,284.0,313.0,329.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.364480904204128534337934137798,235,281.0,307.0,324.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.571885282919489239049701814974,236,282.0,305.0,334.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.385426453956909720624447611218,237,276.0,305.0,327.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.591676078329767221643608000436,238,279.0,309.0,323.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.291162146059157003498884544057,239,277.0,306.0,330.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.162371650086638926299530002199,240,285.0,312.0,323.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.249367789828615095067954836217,241,282.0,310.0,330.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.520796253936685006124790173802,242,285.0,311.0,336.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110611025425545415463845468941,243,284.0,307.0,328.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.179185873660565285461216898647,244,283.0,311.0,329.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.309930351774577809303610947787,245,279.0,305.0,336.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.132871207897836437772051221603,246,285.0,315.0,330.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.196073060574732714061825938606,247,278.0,308.0,327.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323575496763193366719094304784,248,276.0,308.0,328.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242237757687002177422800151918,249,281.0,309.0,330.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203211386576832605451401880393,250,283.0,308.0,336.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.212227483713306380656498491323,251,274.0,308.0,341.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.232820242710779645859876619760,252,279.0,313.0,339.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.181424794690584041608940956793,253,283.0,308.0,348.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.285164038417572473244985079869,254,282.0,305.0,346.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.887840176341900573161202252990,255,281.0,307.0,345.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138236783615132743759690124226,256,283.0,306.0,348.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.183166930781108362358892541012,257,282.0,303.0,349.0,361.0
