sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.142435496429658705207594037076,151,176.0,223.0,241.0,264.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172342540005829503476897669465,152,173.0,224.0,243.0,271.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.393475216384980412489185385969,153,173.0,217.0,243.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.125439793610421877606630341547,154,172.0,218.0,241.0,260.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.212373718230044958711615824218,155,173.0,216.0,248.0,268.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.266144890031724149607606981568,156,173.0,216.0,244.0,264.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.279994442733545231646170953453,157,173.0,221.0,247.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.207807412678207991641560631538,158,176.0,222.0,242.0,265.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.227084204881421780308867085313,159,175.0,217.0,241.0,262.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.286129519617067439875150082666,160,175.0,219.0,245.0,264.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.330805960748784586997061277203,161,175.0,216.0,243.0,264.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.503386723200523527862843188250,162,176.0,211.0,239.0,261.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.307817686150137299352803238945,163,180.0,213.0,245.0,261.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.303960753342392108589112794500,164,173.0,208.0,240.0,257.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.238616147996938193409068711115,165,176.0,210.0,237.0,257.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.408861990476817389229055646253,166,176.0,209.0,231.0,257.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145515255755063559458241477450,167,178.0,210.0,229.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.289729285728020745990249158791,168,174.0,203.0,231.0,256.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.447655234281480556054011350245,169,182.0,205.0,235.0,255.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214906335316043857631788483208,170,186.0,212.0,240.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.122413930346350450691145292335,171,185.0,208.0,230.0,261.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.291153170498985444486327473183,172,187.0,208.0,228.0,254.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.195583594749445633827644876114,173,184.0,202.0,231.0,254.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.237577649553403688712752142495,174,187.0,217.0,232.0,257.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.190223980263925415657085955683,175,183.0,215.0,227.0,255.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.141456206349135453150462694218,176,185.0,213.0,225.0,249.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.293013442115985583650116983177,177,182.0,221.0,221.0,250.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.834313013710247740119110752266,178,185.0,219.0,220.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.107779375901120616596993752678,179,182.0,221.0,215.0,249.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.215341895293074757285342002907,180,183.0,220.0,223.0,246.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.312832553364502765399630400791,181,185.0,220.0,219.0,246.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.184566575057836233609462305267,182,185.0,222.0,218.0,245.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.305107418434328692724055791602,183,184.0,222.0,224.0,245.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.332663502574976976195418341855,184,190.0,221.0,219.0,243.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140844680571293929789412452845,185,188.0,221.0,212.0,239.0
