sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.213554382344409232297258951377,17,182.0,177.0,250.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.721049803804680536787279579804,18,187.0,156.0,260.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.288099539449132790650777981744,19,169.0,150.0,265.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.200472455480427610202958692030,20,181.0,150.0,275.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.124995152561751085769793562190,21,187.0,142.0,278.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217040259489330024774696818859,22,178.0,147.0,270.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.102658590885212657727585935900,23,179.0,161.0,267.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.561167015271059480390743023010,24,192.0,186.0,270.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.233956805808107697486410894636,25,186.0,186.0,248.0,256.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.130289896655129122339149664356,65,177.0,189.0,244.0,277.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.563394328373334121358785440413,66,174.0,170.0,259.0,284.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.289700235846354738511147581474,67,182.0,162.0,252.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.154541062018411511272978135506,68,184.0,158.0,250.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.113368694535722905115601479005,69,176.0,142.0,246.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.347881511404237634936886839220,70,184.0,142.0,257.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152014204687632221248338066410,71,181.0,152.0,254.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.328296416375061309959668528371,72,185.0,194.0,260.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.645744201936545720126290686009,73,187.0,204.0,275.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.248698646023830183143477732489,113,175.0,168.0,264.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.526936809046191157569583840103,114,185.0,162.0,263.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194635418565735241454922316650,115,172.0,149.0,255.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.121612538334669292873156371433,116,179.0,148.0,266.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236121541030752492544844164604,117,175.0,148.0,263.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.939952197209880131710998350750,118,183.0,145.0,251.0,320.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.643555556322617197750202400820,119,183.0,175.0,264.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.830822394363598995499273190291,120,184.0,197.0,252.0,310.0
