sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.131027770051487236541867690794,31,157.0,200.0,261.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.215273643335109355069558777082,32,160.0,220.0,269.0,285.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.201752062715100515304543112946,33,155.0,207.0,269.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.228834358840354145355650405817,34,148.0,201.0,266.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.284303019256660823915446896201,35,147.0,216.0,235.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219243833583311931087142090805,36,142.0,223.0,219.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.248504056009591584450851246460,37,153.0,231.0,213.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.333460656384354918484281777743,38,144.0,253.0,200.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.204676065207770594881022635513,39,148.0,251.0,202.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.282213252560197272515198034308,40,139.0,245.0,196.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152387261868202784181649689329,41,141.0,252.0,202.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.153433617649425318499165813373,42,147.0,267.0,200.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.929572286760414949980138393611,43,136.0,262.0,201.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.879568966574335940008659674871,44,140.0,263.0,195.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.195354627240816742622509886972,45,129.0,274.0,199.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.197375612910018926727585731130,46,135.0,277.0,180.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.299375628488855406126951045606,47,137.0,279.0,187.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.330177294607229390243773521703,48,139.0,287.0,182.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194408319927488521558435442602,85,160.0,211.0,275.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.159905928719278228484257554659,86,154.0,225.0,281.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.209083287883013663246615738305,87,149.0,218.0,272.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.621690311928202937595416903431,88,149.0,208.0,275.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.445224652785654554248721608858,89,149.0,215.0,234.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.118456437670306927540532581508,90,148.0,231.0,228.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.321948083122625346984022940500,91,151.0,242.0,203.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.137549099402367297968907641861,92,144.0,235.0,214.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.293046208436767281684524150682,93,145.0,256.0,213.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.257529276908867759023232815958,94,142.0,265.0,199.0,313.0
