sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.253647862799325732144575547565,30,153.0,194.0,201.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.197746387485254736981430868598,31,154.0,209.0,230.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.163064647521394816543706554561,32,152.0,204.0,255.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.111918404644004699689443709599,33,148.0,212.0,269.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277187627714954404871747746580,34,145.0,223.0,260.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.170616051951462733583168706426,35,140.0,227.0,238.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.894780332387778523804904345364,36,142.0,228.0,234.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.773028842972060767249964985965,37,146.0,248.0,202.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.980898958207015477203856749790,38,145.0,265.0,200.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.468360487292030313572403925411,39,145.0,271.0,202.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.208991441776891144525378612630,40,142.0,266.0,204.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.320508103279275024160639844108,41,142.0,268.0,200.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.838454951871588150763963062150,42,144.0,274.0,201.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.183788347633907429549659362456,43,139.0,278.0,204.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.257191242122944250821186672528,44,145.0,286.0,189.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.845827644695956227115933740137,45,135.0,287.0,185.0,332.0
