sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.273925690774470905138456636496,20,165.0,200.0,227.0,273.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.263254806139084111260998498789,21,158.0,189.0,237.0,274.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.114702654844868177931598751806,22,157.0,195.0,231.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.218525630764448645719490175041,23,154.0,183.0,223.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.418096416503144103592141473968,24,150.0,195.0,221.0,288.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.732788060421522978971858242917,25,142.0,209.0,225.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.327855204758096654117125338851,26,148.0,203.0,221.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.198626605805324059092932572543,27,151.0,192.0,216.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.866260803816700675919878411268,28,139.0,191.0,215.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115512146127383452079879482075,29,150.0,211.0,228.0,292.0
