sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.204655555874015101243666868254,20,163.0,198.0,235.0,284.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225910840204954129224503323512,21,159.0,189.0,230.0,284.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.108760033584383191740604200635,22,152.0,176.0,219.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.321130669648027519847811101084,23,151.0,171.0,225.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.844258328244945746968039098185,24,154.0,181.0,228.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.183915942061943494046949815558,25,147.0,203.0,231.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.477831116929861838511067702079,26,148.0,205.0,233.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.105945762155130874009575907725,27,131.0,194.0,219.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.104801914445673107292457366019,28,142.0,199.0,221.0,288.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115631662459645124688093473601,29,163.0,201.0,221.0,297.0
