sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.981437711187016850554523876546,12,290.0,240.0,382.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217364716222215689503664148749,13,294.0,243.0,378.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.253726957818054905553438109474,14,292.0,239.0,378.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.333703731922054382970344872618,15,275.0,223.0,383.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165351811501566886488984490336,16,273.0,212.0,393.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.321606631207875610333066181230,17,275.0,223.0,386.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.263050304091431131256946755747,18,277.0,218.0,378.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.333591638209377539351339090870,19,281.0,226.0,375.0,373.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.326248336910210351870523908719,20,307.0,226.0,384.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.284321523605273490235179996923,21,319.0,234.0,387.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110197606534974397654623644957,22,322.0,243.0,378.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.305287332769896230805027827370,23,310.0,239.0,362.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194395151421033707930389610111,24,313.0,259.0,358.0,364.0
