sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.159032163428789713995806731921,6,159.0,289.0,218.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.301352516059546519763242330624,7,143.0,262.0,246.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217510026593450202602995550751,8,144.0,264.0,251.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.142169661664356280673286223254,9,134.0,268.0,251.0,395.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.241400504650514637817520717059,10,145.0,271.0,236.0,384.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.502993042732676974568643672191,11,137.0,265.0,237.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.127492029530664974238495235328,12,146.0,259.0,245.0,395.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.195973814740193304896686888964,13,140.0,267.0,247.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.653266737472058088043947474603,14,143.0,285.0,247.0,388.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.265719264283698161401166474112,15,145.0,290.0,245.0,385.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.193301800131878180337799373706,16,152.0,280.0,244.0,380.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.119243875349119781158852848179,17,154.0,278.0,246.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338940203792678996638721888995,18,161.0,293.0,228.0,357.0
