sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.162636949827746956678421040399,6,164.0,284.0,244.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115731520267290529187586583986,7,150.0,269.0,252.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.575271923531405497361633358388,8,134.0,262.0,254.0,387.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.118766339587630282047944829486,9,144.0,255.0,244.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.765410433768269143571059747039,10,132.0,259.0,240.0,387.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.109308084508918567395243961221,11,138.0,253.0,242.0,394.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203126478629841365930464301258,12,128.0,260.0,263.0,405.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.899413363441484538638582596087,13,131.0,263.0,250.0,392.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.298517589804858564410142756606,14,129.0,271.0,250.0,391.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.635156268893733866843889284333,15,135.0,277.0,248.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.175782001985649832347032119360,16,133.0,282.0,242.0,397.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.139540127256984953884039337419,17,130.0,284.0,242.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.230072102385767774336559161948,18,144.0,273.0,232.0,370.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.975792918569309100101976735238,19,148.0,285.0,213.0,359.0
