sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.198477499705547464547568109183,5,162.0,288.0,220.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.680443144107126239451408063060,6,164.0,283.0,223.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.105499623519062863595045512961,7,139.0,262.0,248.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.821110290316257170258287826031,8,139.0,267.0,254.0,384.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.148278431565729966957772722815,9,137.0,259.0,247.0,379.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.249641364606731408364785641747,10,138.0,257.0,243.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145430979011533475102124769146,11,137.0,256.0,242.0,391.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.286773310349647498241902858526,12,137.0,270.0,248.0,384.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133141379321416489717338058468,13,136.0,262.0,284.0,410.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.243841481530779295103901026385,14,137.0,284.0,251.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.182225400095760101066572567660,15,143.0,272.0,251.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.361483060934196001432339553106,16,155.0,284.0,248.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.343387981014861365503403603321,17,142.0,277.0,238.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.239561104577069570341605761140,18,158.0,295.0,222.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.508901734103817228203059931571,49,165.0,294.0,227.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.226370651212065652505373807920,50,157.0,289.0,235.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.116960992659672766665140074747,51,139.0,274.0,255.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.987827119159566017608471310722,52,138.0,263.0,258.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.164414478017145145247048883126,53,131.0,262.0,248.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.564740634261305253723051877769,54,139.0,256.0,250.0,385.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.326371146161172643172410165493,55,132.0,250.0,249.0,392.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.204940960620674261320317910875,56,137.0,248.0,254.0,393.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.196175737943037860941662498958,57,138.0,271.0,253.0,392.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.919186977258128971987467663512,58,139.0,283.0,250.0,384.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.141012178583736448821101642094,59,148.0,283.0,250.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172218310312990337077857697007,60,145.0,284.0,248.0,380.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.663213541202459252443163102778,61,145.0,281.0,223.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.180682384062640824204612443414,62,161.0,295.0,208.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165614833303877538060064336613,93,170.0,288.0,212.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194938733566087293238313618539,94,151.0,286.0,220.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140640565653080546116324079499,95,139.0,262.0,237.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.420398221936387100356468816617,96,131.0,275.0,245.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.336019412476507000013685987189,97,137.0,265.0,239.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.104394806331267208435405343366,98,137.0,256.0,245.0,387.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135953452662536126233553774421,99,146.0,266.0,253.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214764695801721623495747351003,100,137.0,258.0,249.0,398.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.132080571481548350715616773430,101,137.0,275.0,258.0,390.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.150199593320375651738658515340,102,145.0,283.0,245.0,381.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.304645908296861616536235417183,103,145.0,282.0,243.0,388.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115568159044267928957138097599,104,151.0,286.0,243.0,370.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229958145782267940585192951552,105,154.0,285.0,235.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.273922447203889236052976687277,106,171.0,300.0,211.0,347.0
