sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.584032862780947388068569049496,26,175.0,196.0,225.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.142450442445828440413938507126,27,180.0,201.0,237.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.641976647393670921964133934676,28,174.0,195.0,230.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.267280150850028299786026614440,29,172.0,199.0,231.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.190886591758288486892681453100,32,182.0,153.0,284.0,249.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.578092745569500056752036202562,33,169.0,144.0,271.0,254.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.805844921564978430141738286817,34,194.0,136.0,271.0,269.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.185384362080213604972586619210,35,163.0,109.0,278.0,284.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.661288220685573011316310359241,36,169.0,109.0,263.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115931857687422213526941890501,37,166.0,114.0,250.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.260370354155865359751727543975,38,155.0,114.0,263.0,301.0
