sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.411655884728825935940222175693,29,161.0,200.0,210.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.116060791773513192789265187293,30,160.0,212.0,229.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323051758550534360223976796932,31,166.0,218.0,215.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.292181835224081094126582033811,32,163.0,216.0,226.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.211057561866296656545160982202,33,155.0,227.0,219.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.325088120981409185210602722780,34,138.0,222.0,225.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.263475332976492545706698190896,35,148.0,230.0,223.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.227510489051132924265130543873,36,140.0,232.0,228.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252265850200971229453785437981,37,152.0,235.0,215.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.120276055482519635422294665575,38,157.0,251.0,209.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.178797775138478370247412427664,84,171.0,222.0,207.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.193206592828717993307803701769,85,150.0,218.0,211.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.267090552611318641259964968824,86,155.0,223.0,214.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214978150856406966514765993059,87,157.0,227.0,213.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.189984299340044859455618832213,88,154.0,225.0,215.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172437742389425087835841093549,89,142.0,243.0,223.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.220943602271041229382125000028,90,157.0,236.0,224.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.271065699102808348631595692574,91,149.0,241.0,211.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.264031870351249803063948522969,92,152.0,256.0,211.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.120116267174700302148466558714,142,167.0,213.0,221.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.123862196477585374630630679319,143,160.0,223.0,216.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.188253115789027548459523010922,144,152.0,224.0,213.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338128684262288121380345043909,145,141.0,227.0,228.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.701738250250835594035136025014,146,151.0,232.0,227.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.260649091381254351062090315967,147,155.0,242.0,216.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.259718548056570560711409162773,148,156.0,254.0,213.0,318.0
