sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.118724203656038494328106372224,28,174.0,300.0,224.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.200946119880856539510386795988,29,172.0,306.0,224.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.128417151434192381516748705624,30,172.0,314.0,225.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.154641801384775461481388613908,31,170.0,316.0,221.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.124517271999768958430222455402,32,170.0,340.0,214.0,390.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165504498090792328266667493235,33,176.0,336.0,215.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.227356967274678581829520671200,79,175.0,306.0,221.0,370.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135938558080193408656129503646,80,167.0,300.0,222.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277824046585595119151947152624,81,175.0,312.0,222.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.171745511582665738855800801772,82,165.0,310.0,228.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.520549615152485076839934112498,83,175.0,322.0,228.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.141738771544713004606201497539,84,179.0,319.0,226.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.302028041878172544989240509702,85,175.0,327.0,213.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.977134451586518649629385965101,125,188.0,317.0,226.0,370.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.871017234050699348577111586318,126,176.0,309.0,222.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.202682877709943044978402440028,127,175.0,295.0,224.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.187414854015865200513726226077,128,176.0,311.0,220.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.549238773897957142947389206417,129,172.0,310.0,217.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.185745204553471861980576882375,130,172.0,306.0,225.0,370.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.168189108158620207870279830402,131,168.0,318.0,221.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.602404731115867158473606855925,132,171.0,318.0,221.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138610942485666429835730644223,133,174.0,333.0,228.0,392.0
