sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.147208030624205149801254895073,42,277.0,297.0,337.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.307024443791109170054900471300,43,295.0,300.0,351.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.825986002254078995484091680390,44,295.0,289.0,363.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.116299927769208965332260732583,45,295.0,285.0,355.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100663981583270403203828392002,46,297.0,282.0,366.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.195301041379221264546600679598,47,299.0,277.0,363.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236922457032822775590098103457,48,303.0,277.0,372.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.260959378515268488567856744129,49,311.0,279.0,375.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.547620240278076789527949726733,50,323.0,286.0,366.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.263688197534300780963144015192,51,326.0,289.0,370.0,327.0
