sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.172873951853547117891896207684,31,370.0,277.0,413.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.223293701855552993552481296256,32,347.0,271.0,410.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.245153077493762278218122524622,33,358.0,258.0,423.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.246317247974746540088860146927,34,362.0,255.0,425.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.268358069376768734269712294107,35,351.0,248.0,428.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.309763020335711320528475942428,36,342.0,255.0,429.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.205167707839952711544640450507,37,348.0,262.0,425.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.322273987217984546596451969309,38,339.0,262.0,433.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.259142733492664155282437176516,39,336.0,253.0,433.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.335494297660319911564803199888,40,331.0,253.0,428.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.608510835122292734065546311980,41,325.0,253.0,425.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.119106171283629702574912307968,42,328.0,253.0,421.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.205535068073160812554122885252,43,326.0,262.0,416.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.206484683943415276375984138509,44,349.0,254.0,406.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.391075185731895153411376859082,45,357.0,251.0,408.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.883058162133403559213345624621,46,364.0,259.0,401.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.246229159841072192691472912659,87,367.0,280.0,397.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.265340541820174820615414921452,88,368.0,273.0,410.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.301903347184300035609174428974,89,357.0,259.0,417.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.227399692599606188763161270278,90,352.0,258.0,430.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.212703924367942205432237052754,91,359.0,248.0,430.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.321748291519351277920492806086,92,337.0,251.0,433.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.302302075275976098285069134769,93,354.0,248.0,434.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.405527838380994333107910490182,94,347.0,248.0,427.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.155842391868430853144244463146,95,335.0,227.0,431.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.558009539633487908881566927960,96,327.0,259.0,437.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133080178948566719225056488652,97,339.0,256.0,437.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.176096022052639357061448478755,98,328.0,249.0,428.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.198155433382138180788077166111,99,328.0,256.0,421.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.334218377588460474857566287611,100,349.0,260.0,416.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.324391173872592120927148916077,101,365.0,249.0,406.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.240212282196690327287232293774,102,364.0,240.0,402.0,287.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.310780795351639054187904826412,143,373.0,288.0,408.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.813293646760545265112898050225,144,355.0,282.0,407.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135133690065544826341720521744,145,347.0,262.0,425.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.324748234244286853364760822444,146,347.0,271.0,433.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.270369394696645685758097731087,147,351.0,259.0,432.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.275116273314014064693813248484,148,342.0,259.0,428.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.101290050695398217379704294066,149,341.0,258.0,423.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.185627508101856729528479663511,150,345.0,250.0,428.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.167081736405086761593425740820,151,333.0,258.0,441.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.228401640577201213715711128160,152,322.0,267.0,430.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.718567798537603636752858027163,153,317.0,260.0,426.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.187248134144406361929846704689,154,332.0,265.0,420.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.107354902053110436238543705135,155,334.0,266.0,407.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.590665934817451858479449426674,156,340.0,262.0,412.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.319270246482529998471937471476,157,361.0,259.0,402.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.271881265745186830842850629420,158,366.0,259.0,404.0,297.0
