sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.428039388092375787482759529870,31,360.0,277.0,417.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.113513853289508185614288916909,32,343.0,271.0,419.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.999316244991356087195002276459,33,347.0,259.0,419.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.173118159205465399242889263449,34,352.0,258.0,430.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.177174985617216103780620601979,35,349.0,265.0,434.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.992979834354363822467536664272,36,341.0,245.0,422.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.840455997794926024155619586902,37,339.0,256.0,434.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.251856452579871665563387384318,38,339.0,258.0,434.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203906926824027885686242538191,39,336.0,266.0,430.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145704614304462449139038887503,40,339.0,265.0,431.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.330981305332406122034184676813,41,325.0,259.0,420.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.189899171198124389784370934093,42,332.0,265.0,420.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.148627870020156868033645975686,43,331.0,259.0,422.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.495552356981169305086079282241,44,351.0,256.0,410.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194843737757488186932813048792,45,352.0,256.0,406.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110008156253057233675314747790,46,363.0,259.0,398.0,298.0
