sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.203918984058851079466027664106,16,303.0,281.0,360.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.134507402067588618557904982039,17,289.0,271.0,360.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.282870256609964011204863681317,18,305.0,288.0,341.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.148383735334085113772770128712,19,305.0,306.0,346.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.190762072061954960819665956789,20,295.0,306.0,329.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.169004611692879023638968882717,21,288.0,310.0,331.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.137917976423809326324101662881,22,298.0,321.0,337.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.198035616864929810789121444842,23,288.0,318.0,335.0,380.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.312331169623596567175977434187,24,287.0,319.0,322.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.320333189083141635137126809234,25,297.0,324.0,329.0,367.0
