sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.880299380100307800242781981315,13,192.0,240.0,240.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.285225119660919097743135132867,14,193.0,234.0,243.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.270420335063228603269123244325,15,176.0,225.0,247.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.721059078572608043739321144466,16,189.0,222.0,240.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.128000849439779193245641825537,17,183.0,214.0,234.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.332034824097680803637269986289,18,186.0,214.0,234.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.720692059565325960550549566041,19,170.0,209.0,232.0,329.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323965155470429971500218063678,20,167.0,211.0,236.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.643934504010807165831695272754,21,162.0,209.0,233.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.294119355019694709295812582005,22,170.0,217.0,237.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.786040793065704850297645985743,23,171.0,211.0,257.0,328.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.763424191452119816338842841926,24,173.0,221.0,247.0,328.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.260545111400002986986543196924,25,171.0,222.0,242.0,333.0
