sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.129776393473087434601990964096,108,317.0,258.0,353.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.299297723451673995130955242662,109,319.0,258.0,352.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.337667730049617278409264635579,110,318.0,257.0,352.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.122796520097572504312749047832,111,319.0,261.0,351.0,288.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.324328776831204087197953492125,112,318.0,256.0,350.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.308402620838484261165692292455,113,317.0,258.0,351.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.313203640288554937601231506316,114,319.0,257.0,352.0,287.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.334847002023793834186500795226,115,319.0,258.0,351.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.154497870021089792654901908490,116,316.0,257.0,355.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.320088111759939277791939869091,117,318.0,257.0,351.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.113838569009827402045180823407,118,315.0,257.0,350.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.281009624167642828661030840465,119,314.0,258.0,349.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.611571055435523699473034862975,120,314.0,258.0,351.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.193141195217418017359558175522,121,315.0,257.0,347.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.764315395541155403855986034649,122,313.0,259.0,344.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.318449753016557971599002280643,123,313.0,257.0,349.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.625969492695143605866410398634,124,312.0,259.0,347.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.141540553062916806368412514097,125,311.0,259.0,348.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.104399375000382871297471273915,126,310.0,257.0,350.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.137102568195997445579283533754,127,310.0,256.0,348.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.256188707185914099989518656175,128,309.0,257.0,348.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.195568527463017421532656349857,129,309.0,258.0,349.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.159185309594655545755884444983,130,305.0,255.0,352.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.251403986208086239326809868059,131,308.0,258.0,352.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.239560150116673989401832827839,132,310.0,260.0,351.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.746541370957165911428229192174,133,309.0,260.0,350.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.211875147859312560847158785698,134,309.0,259.0,351.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.255895351174307221884435389815,135,307.0,259.0,352.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.132844230494054206838385585328,136,308.0,256.0,351.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.265352960175919703196224441022,137,307.0,260.0,357.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.196510637681868847480639750732,138,308.0,260.0,352.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.174515275418099775901346949493,139,309.0,256.0,353.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172503324921570356064794886749,140,310.0,259.0,353.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.322132796338034232990499363080,141,313.0,260.0,356.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.481089196038357796969320312529,142,310.0,258.0,357.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217026163529728944063515364271,143,310.0,261.0,354.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.211756332108838843586198962333,144,311.0,259.0,354.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.280957088067487542866640632229,145,309.0,257.0,353.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.234255838825083697872191990138,146,310.0,259.0,357.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.148386785787867712719944046231,147,308.0,257.0,358.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.218058572157230257263198527854,148,311.0,252.0,355.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.213196146859994148818253180151,149,313.0,254.0,356.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277537625174980384415996950760,150,310.0,253.0,358.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.302606413500944168776858827484,151,309.0,252.0,354.0,293.0
