sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.145441030300205561717304948942,92,325.0,265.0,355.0,287.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.240395707022180313658573354280,93,325.0,264.0,357.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.981212272233321084687466424322,94,325.0,261.0,361.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.906558197277962177890705661431,95,317.0,262.0,358.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165777767023437629702997017728,96,315.0,263.0,357.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.221389834375034742402927673047,97,317.0,261.0,356.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.671345334305868311511264988450,98,321.0,262.0,356.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.371027683692784955105983781222,99,320.0,260.0,351.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.293962350937102190013192876390,100,321.0,261.0,351.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.586293962617955328782877220702,101,320.0,257.0,350.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.210331854274305121707799187021,102,318.0,258.0,353.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.283467862463695103387177978612,103,319.0,257.0,352.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.202712147206589613786656478085,104,317.0,260.0,353.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152508435544253072664246176079,105,318.0,260.0,360.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.182772566059208546118178204830,106,313.0,262.0,354.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.272457387829653385427928463976,107,316.0,258.0,354.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278621018564216167698541706197,108,315.0,259.0,358.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.298371197242857019340714718867,109,314.0,262.0,359.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.887965454022879846946509662036,110,315.0,262.0,357.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.114059027581196989029251655758,111,316.0,259.0,357.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.967935561573408584929997010622,112,319.0,261.0,355.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323123857098840258556173206139,113,319.0,261.0,357.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.223558528164960985127837189038,114,318.0,260.0,362.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.312473989484054447837231409350,115,319.0,260.0,359.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.202846970642668871150516695478,116,316.0,263.0,359.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.483781635721115905470727318566,117,314.0,263.0,360.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.143576383177409953551205573815,118,316.0,259.0,358.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.164205831836639185759339313146,119,315.0,256.0,358.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.535561100276002721829132554887,120,316.0,254.0,359.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.224220335603948965831225592600,121,314.0,254.0,361.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217316300953463606959038673045,122,315.0,255.0,359.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.301891020520335895178532742420,123,318.0,257.0,356.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.299379905224506648804086049121,124,317.0,257.0,354.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.106633765423480338476137144222,125,315.0,257.0,353.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.183431214189024164299793692326,126,313.0,253.0,352.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.129092088541088058034411385202,127,319.0,249.0,354.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.132112007735198264764265778868,128,315.0,244.0,351.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.312375080483483522139592508509,129,315.0,242.0,352.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.573642021601710086469173199753,130,314.0,244.0,353.0,282.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242262468833333752958117629181,131,317.0,242.0,354.0,278.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.731670363147946861581137719416,132,318.0,243.0,349.0,279.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.106569030398237460482395142351,133,319.0,249.0,351.0,282.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.156262531130339262300685444355,134,316.0,248.0,351.0,281.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.351750495151515762074932644874,135,320.0,253.0,343.0,274.0
