sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.104416852193080508199163307483,253,315.0,291.0,346.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.684510621781001207334748612810,254,310.0,292.0,345.0,320.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.309531243004968228386989868444,255,313.0,296.0,348.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.282486291672591446896291738506,256,317.0,296.0,352.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.307844871517129068747344579366,257,316.0,295.0,358.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.117031606736092086659696526754,258,320.0,294.0,358.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.244683773731296203510159983949,259,316.0,296.0,360.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.990373158090310582084150681791,260,311.0,293.0,359.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.211679025323863754555147732740,261,308.0,291.0,360.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.163960943832590369765166118667,262,306.0,293.0,361.0,329.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236691746339665668503068705273,263,308.0,296.0,366.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.294894443520881987972142026875,264,304.0,294.0,367.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.706265524808104790146838172699,265,307.0,293.0,368.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.183340774874328269640203814449,266,305.0,294.0,363.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.123667920424056000032236667937,267,306.0,293.0,370.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.991499814230695593081785036717,268,309.0,293.0,368.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.421993164655910809492712887765,269,307.0,291.0,369.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100032831125711173020947743624,270,311.0,290.0,364.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.166648258202390386799971592337,271,307.0,289.0,366.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278873574437236396435192922023,272,305.0,290.0,368.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.516531393496475289265141390684,273,306.0,287.0,366.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.274033849927146833939623951398,274,308.0,287.0,366.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.622352757914045146208467327874,275,310.0,289.0,365.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.289205655986620908735270442458,276,307.0,286.0,369.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.475576654731510564571447752818,277,310.0,288.0,367.0,338.0
