sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.171935009677763849821939635240,80,346.0,276.0,372.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.339124931394576284943163787258,81,343.0,272.0,372.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.306454446296590092491728348495,82,344.0,271.0,370.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.706928540649315597749594677193,83,342.0,277.0,371.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.121209817263544261016050914679,84,344.0,272.0,374.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.308677926170479006441118466290,85,344.0,272.0,373.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.107440429070323830376270186367,86,344.0,273.0,382.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.310606191085625030912811219662,87,346.0,265.0,377.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135548561342504678528119505905,88,341.0,269.0,374.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.239712257529140136791319850249,89,340.0,267.0,379.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.197701395587068579822673894656,90,339.0,269.0,382.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.233301693897255424089423089236,91,337.0,263.0,383.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.215535985872780008654430132405,92,335.0,262.0,380.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.253830920663626441316811294446,93,333.0,259.0,388.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138682197552848910894272239815,94,324.0,257.0,386.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.290390884662844981677571615559,95,321.0,259.0,381.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229882099077666230808611403471,96,318.0,264.0,379.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.160502166065769297587039142073,97,330.0,264.0,373.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.180172763683232489572173186309,98,324.0,263.0,375.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323962477462563927893190558250,99,324.0,260.0,383.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.101279826405637882205928446136,100,330.0,254.0,386.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.220294787494129454629515027875,101,328.0,257.0,387.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.210574906675606168537381562170,102,331.0,261.0,388.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.150859960648296500755085083750,103,327.0,262.0,388.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.124048259111055240254396111508,104,323.0,260.0,384.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.237164287124325123263577352805,105,327.0,256.0,383.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.184628375877678354710593665135,106,324.0,266.0,390.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.873578072910632403639179216300,107,320.0,260.0,388.0,329.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.964743125690259045019993195563,108,323.0,252.0,387.0,328.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.209542123826058152857251285301,109,325.0,259.0,385.0,328.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145091760269669200640667141875,110,318.0,253.0,390.0,328.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.297053559230922145105731414692,111,309.0,248.0,390.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.213325383865434189535996895943,112,301.0,255.0,392.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.113917433441037179334261196788,113,301.0,249.0,390.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.742748477109401124641381096134,114,302.0,256.0,388.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.977070688016551569890605197452,115,294.0,256.0,391.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.264798616461531911427333082322,116,298.0,252.0,391.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.332023667979100850674498166224,117,301.0,251.0,392.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.268696328449154292300943756343,118,301.0,253.0,390.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.307874124049413511153262864902,119,301.0,247.0,387.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.174768173748621676387705520073,120,295.0,250.0,388.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.740697031454225127362078639578,121,297.0,249.0,390.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.298197555101883686796184891993,122,302.0,259.0,390.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.286467082282202153979448995968,123,302.0,251.0,386.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.241976010082044127046976840929,124,298.0,250.0,388.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.274050461327497375220716253610,125,303.0,254.0,382.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.285963090209993727893852934480,126,303.0,253.0,390.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.285335396394470355811662564813,127,305.0,249.0,390.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.333479794012112179220784484814,128,310.0,258.0,390.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.292708892068289498605082560361,129,312.0,258.0,391.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.143841597578480718153832302026,130,302.0,258.0,391.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.233519878704881536251223539635,131,303.0,253.0,394.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.233530611902696781119360536546,132,304.0,255.0,394.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.438223819660851544911864440038,133,310.0,262.0,393.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.156452657126858553866873330796,134,308.0,264.0,396.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.243940539925822248190910672207,135,311.0,261.0,392.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.464073115727762915501409441857,136,306.0,261.0,399.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.223246990234970023827426412766,137,310.0,265.0,397.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.184309705032087949033816037446,138,308.0,257.0,400.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.430915397482144326503345386544,139,312.0,261.0,394.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225328304337611108293453122696,140,310.0,273.0,398.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.287453605109317662318801951089,141,307.0,265.0,399.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.181397012975146074746001054602,142,312.0,264.0,401.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.103916276898608196833928828495,143,312.0,267.0,397.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.180834251041135047788741152387,144,317.0,270.0,403.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.298110233794061500391550934122,145,311.0,271.0,394.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.170563111916223987093820791491,146,311.0,268.0,394.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.158678532607334058200055099278,147,310.0,267.0,405.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.766059751566909924913632576102,148,310.0,271.0,392.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112899856127959584599274484397,149,308.0,261.0,391.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.204329784076752985198090178217,150,313.0,272.0,390.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.329825072368199750901596213339,151,319.0,266.0,387.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.215426533065735610213855714755,152,316.0,272.0,395.0,338.0
