sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.293215848150415705661886358586,165,291.0,336.0,323.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.320039870911406836322436950412,166,287.0,335.0,325.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.402891074621762903172356312342,167,285.0,332.0,327.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.127259754703305624144202920732,168,286.0,335.0,326.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.230846033057901301236323728930,169,283.0,333.0,326.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.469493159523019313269585147194,170,276.0,336.0,330.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.744695003879959795296513710610,171,276.0,330.0,329.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.245554314338963329613009568406,172,275.0,334.0,332.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145740848270908454479961128666,173,276.0,331.0,330.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.309385699731931094643672930104,174,278.0,329.0,330.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.259509905935372589600291468233,175,279.0,333.0,331.0,379.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.463679913940823124033551788912,176,277.0,330.0,337.0,379.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.266155683235737806732396160693,177,278.0,333.0,337.0,380.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.319834769847493467984753880510,178,278.0,335.0,338.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214189459837720368401860721016,179,276.0,328.0,340.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.440533951738744547591441894683,180,275.0,331.0,342.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.496746575194162993503883453673,181,276.0,330.0,340.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.654852084978086968404461729926,182,275.0,332.0,340.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.328376680283708977274560773758,183,271.0,331.0,343.0,380.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.187071966416360673355006683459,184,276.0,331.0,344.0,385.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.959315236877091900803857230844,185,273.0,328.0,339.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.160449546407447791263828216822,186,272.0,328.0,346.0,381.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.813662849727979863185405337348,187,275.0,329.0,343.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.270919018530581195903566175255,188,276.0,329.0,344.0,385.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.860111819359497119188498414299,189,276.0,329.0,337.0,381.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225041894131341214653074078620,190,276.0,332.0,341.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252345691873589645382046052928,191,273.0,332.0,335.0,388.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.111592105197664941498306573944,192,271.0,325.0,339.0,388.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.233335251627528204630745611842,193,276.0,325.0,340.0,380.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.187478455509011722499016019958,194,267.0,326.0,333.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.230346311165203673434624621683,195,273.0,324.0,340.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.208871667617211641980870133113,196,273.0,322.0,337.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135154194414068731454224942865,197,273.0,331.0,332.0,381.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.238766208180803688345975971876,198,274.0,332.0,333.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277826453296479748886507957350,199,279.0,328.0,340.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.734369272279360567271353924475,200,278.0,334.0,337.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.244828853754529309214478282117,201,282.0,336.0,334.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.992069367101398528272706791380,202,273.0,329.0,331.0,391.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.178655065013048324918327193391,203,273.0,328.0,331.0,384.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.295676727271785014398440215100,204,272.0,331.0,330.0,387.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.946569870846998042556324139834,205,276.0,333.0,330.0,391.0
