sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.149291890282463347925556802716,444,297.0,316.0,335.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.320044580699805354226892704718,445,299.0,318.0,330.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.173497948343899293112356732306,446,301.0,319.0,332.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.777780744360761896035650400785,447,300.0,320.0,332.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.102210615941340300875679897353,448,293.0,316.0,330.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.125973394478056565770652548936,449,294.0,312.0,328.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217958479491590405954269194931,450,298.0,318.0,329.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.318269275346438175065084057180,451,297.0,312.0,331.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.290271790487385759222708800311,452,296.0,312.0,329.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.330326565435317560491301399626,453,293.0,310.0,334.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.189410427928956061150372189226,454,291.0,308.0,341.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247811076451526381846748891369,455,292.0,305.0,343.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.687245488664951713152629114675,456,294.0,307.0,343.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.147125185972293677265801519832,457,293.0,300.0,348.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.158337035673496135293794408695,458,287.0,300.0,348.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172362245449839367941817647012,459,293.0,304.0,350.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.201880387832550426030622785032,460,294.0,303.0,347.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.154005353823110610747203706466,461,292.0,303.0,348.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.346932054220209438571094503615,462,289.0,305.0,349.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217339599933427488899421982829,463,292.0,299.0,349.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.221500195305222041828120341247,464,287.0,300.0,350.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.363696582923488703157150102646,465,290.0,303.0,356.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.183357232805097396531292618722,466,287.0,296.0,348.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.333092584341481491674525815132,467,290.0,296.0,347.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.107143628149947646506902644233,468,293.0,303.0,348.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.102827730933363906322633872814,469,288.0,302.0,350.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.820522942572973121639611494635,470,294.0,303.0,354.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.196042250528795936954361739488,471,296.0,301.0,351.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172910744066190314088824657106,472,291.0,298.0,353.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.509578693784297325112317525628,473,295.0,299.0,352.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.282853545783695679383448574242,474,297.0,296.0,351.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.139631351564715196116871437290,475,294.0,303.0,351.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165153873284409910123311311624,476,294.0,301.0,353.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.474650045687483441731365369007,477,297.0,302.0,354.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.719935916912105791441862374006,478,301.0,303.0,349.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.299176270728100799832325501677,479,297.0,303.0,345.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.129737560732082205417675294299,480,298.0,307.0,346.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242861389187498652472779278116,481,301.0,315.0,341.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.189287776375815967532373536242,482,304.0,317.0,340.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.166461546321286402248166864556,483,305.0,316.0,343.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.393843079001435353125461141855,484,305.0,321.0,343.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.178578761346751601434074149162,485,304.0,317.0,340.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203587464425266509867997176948,486,305.0,320.0,338.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.769271591444425382607697900152,487,306.0,319.0,344.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219996810601376838293510705783,488,306.0,315.0,339.0,361.0
