sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.159838553206751209114944291864,163,169.0,319.0,223.0,407.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.191427599286505619091140015061,164,170.0,325.0,235.0,410.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.255081600779016099830402568123,165,168.0,325.0,232.0,407.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.737331756965837857497442921917,166,164.0,323.0,248.0,408.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172352208302537776070597770118,167,169.0,328.0,238.0,407.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.173206567326356233796307068377,168,166.0,328.0,241.0,411.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278437011704802459441990842101,169,163.0,325.0,238.0,407.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.312696585143824856975024462344,170,161.0,329.0,240.0,406.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194067352032300006478444787469,171,153.0,326.0,243.0,410.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.339592147095641299501821326507,172,154.0,323.0,246.0,408.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.213699779847793619489380234051,173,156.0,328.0,245.0,404.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.810288812766669405464795638067,174,144.0,324.0,241.0,408.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.889230050215999297611656880242,175,152.0,322.0,248.0,411.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.648683619265446135203624124092,176,155.0,325.0,244.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.170630903772611888463550132138,177,158.0,321.0,243.0,404.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152926701144696463122324435405,178,158.0,317.0,241.0,410.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229592107602549845315423506140,179,156.0,319.0,247.0,408.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.170127384525418015998174978333,180,155.0,326.0,245.0,404.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.134527221599673190242807526108,181,155.0,320.0,247.0,408.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.269893846462221445333384039807,182,153.0,324.0,248.0,406.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.164920155339879571998365929499,183,158.0,312.0,245.0,400.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236725671642450346783367803415,184,156.0,314.0,251.0,400.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242426375065089768695392174146,185,157.0,321.0,251.0,407.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.490577605176806762929338715898,186,157.0,321.0,250.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.261998361792348607150020835913,187,160.0,324.0,244.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.154394245349424306531246766585,188,162.0,317.0,251.0,399.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.974000246142498420997745892104,189,158.0,315.0,246.0,400.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.129649308186108430632717415424,190,158.0,321.0,248.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.275484858925016218924723249210,191,152.0,318.0,255.0,400.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.866065379268404302460742776004,192,158.0,315.0,251.0,400.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.183127350486543491343637941840,193,158.0,321.0,250.0,405.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.130135918243388456484388049176,194,150.0,320.0,249.0,403.0
