sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.333046504856084068882032440747,166,210.0,328.0,236.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.196427951468958282811716156678,167,214.0,333.0,240.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.210546556212505001978201752675,168,212.0,335.0,239.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.792676409687092322810619981482,169,212.0,336.0,237.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.336618942504823805056782389984,170,212.0,335.0,242.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.197834373702729355677596696312,171,207.0,335.0,238.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.302191730236980855121371696046,172,210.0,336.0,239.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.243600085688870554963324710798,173,206.0,336.0,240.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.180685001494804443870171140116,174,209.0,339.0,240.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.452047741581913024789998793764,175,211.0,336.0,240.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.285947045405147062869433053599,176,206.0,333.0,240.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.208766585201298376346565818049,177,209.0,333.0,240.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225973546442012621138098581239,178,205.0,332.0,238.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.191369820029310352483023153624,179,207.0,333.0,240.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.164683556041346456901857993023,180,207.0,336.0,240.0,370.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.181849617073698811712130648652,181,205.0,318.0,244.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.121309499805810161964455647952,182,201.0,321.0,244.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.342742849389660242894154746706,183,199.0,318.0,244.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.257365979117733815072544882665,184,198.0,314.0,240.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.803401307405982299302950356178,185,195.0,318.0,244.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.701802727500752941387000058506,186,192.0,308.0,245.0,373.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.201878556060340038216386385790,187,193.0,313.0,243.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.426681325117934433218656422911,188,190.0,311.0,243.0,373.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.190440216828473986794825227687,190,164.0,305.0,242.0,411.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.234522002726559548810531857933,191,157.0,306.0,237.0,404.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.590586005125828500588504950434,192,162.0,303.0,238.0,402.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115315404538165407518977610076,193,158.0,308.0,241.0,409.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.206111992320467163299348024015,194,161.0,315.0,239.0,400.0
