sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.111362477484853045425228631808,282,215.0,298.0,237.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.237631654880807663845226148717,283,215.0,296.0,237.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.114636512195224927194365091064,284,212.0,301.0,243.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.117077495011891835561428695323,285,212.0,300.0,245.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.234910191170213459707138595255,286,208.0,297.0,244.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.677181303881506918253240546106,287,203.0,288.0,246.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.826142365539500962515886555038,288,206.0,293.0,244.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.283111960597894323667128163917,289,205.0,293.0,244.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203065199767256716439066544219,290,198.0,291.0,254.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145199981421413101451390017720,291,199.0,286.0,245.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.688757899053210731046176334147,292,200.0,289.0,248.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.264906143253510256903996367319,293,200.0,293.0,247.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.299906659404135431494635085270,294,201.0,289.0,244.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172386822912510147959610958667,295,203.0,293.0,244.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.330348917026311227349966858895,296,199.0,292.0,251.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145796596251423367854647759192,297,201.0,291.0,248.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.302258726172983241818076991578,298,202.0,292.0,245.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.397270994574912346642368690592,299,198.0,294.0,246.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.307749647468864894520099397932,300,198.0,290.0,244.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.137019400987032804685704933260,301,199.0,292.0,244.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.161740233721274943724032432330,302,195.0,286.0,243.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.139759385152075669055844664904,303,194.0,293.0,239.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.120101299493760175313989262523,304,196.0,296.0,238.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.206415756698226337786492061236,305,191.0,290.0,239.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.307228599262251010275983195562,306,192.0,299.0,236.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.710166391446562750180643940800,307,185.0,289.0,238.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.248488036142334693795036965836,308,189.0,300.0,235.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.253577892008007719901052718408,309,190.0,293.0,244.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.418157697570623498288860983157,310,189.0,306.0,239.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115383989003239357123912032415,311,186.0,300.0,233.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.445057637861534907175452184017,312,189.0,300.0,236.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.990768257767041725382707144960,313,187.0,300.0,232.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.243582945935931313766913973425,314,189.0,302.0,237.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.282978530512022093040486737892,315,184.0,297.0,243.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.109231322915710688539226536711,316,183.0,303.0,230.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.270466456139359419560348830176,317,180.0,307.0,230.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.556566272872228360211043054358,318,187.0,316.0,229.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.253030917867489537891116619559,319,182.0,318.0,226.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.154950985834835836291145083766,320,180.0,321.0,212.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.193553269133139504456787750804,321,183.0,321.0,215.0,353.0
