sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.318933241249269850988049928939,119,199.0,314.0,233.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.717412494706055605894694381174,120,198.0,314.0,234.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.218074648841832346992942183391,121,195.0,315.0,238.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.306133997591331472198502633151,122,191.0,314.0,240.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.139145716849289411828497258643,123,194.0,313.0,235.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.311835824604061591505640141635,124,192.0,308.0,245.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.594262343642789943739180710389,125,187.0,310.0,247.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.293283279696410872478779338894,126,187.0,305.0,238.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.981911614191695714951142118962,127,186.0,306.0,244.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.457291691593545842905894823518,128,191.0,302.0,233.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.745750737199784461905643511669,129,187.0,304.0,237.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.281861445275747349821367627017,130,183.0,306.0,236.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.280262078893229311633926182107,131,188.0,301.0,238.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.458440205455824453739311839722,132,183.0,304.0,239.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.316282905613103217475036985423,133,183.0,300.0,243.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.276571775813938800053680381395,134,183.0,297.0,240.0,359.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.191994808629452462216033005514,135,191.0,300.0,240.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.699348960376604985810077446355,136,185.0,302.0,243.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145388040430245782088455645581,137,187.0,303.0,238.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214751542017311978066815803803,138,187.0,295.0,234.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.292870319337888387469025518168,139,186.0,301.0,235.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.227038240760581224394849014764,140,185.0,301.0,238.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.190819542545028919234610429240,141,187.0,300.0,231.0,370.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.930608181307420259701232250757,142,188.0,300.0,234.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.108651595387269839158429496403,143,188.0,303.0,235.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165593979899343414537680847617,144,184.0,300.0,238.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.295719211772509849099743642198,145,188.0,303.0,234.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.909132191731104260170252595355,146,185.0,300.0,232.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.141007641412012582871651713794,147,180.0,302.0,231.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.175080426897526074197930755925,148,177.0,303.0,226.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.179619709858544730887030470240,149,183.0,303.0,233.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.209115652847718689274745036823,150,184.0,307.0,229.0,373.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.310312742724534244367055693406,151,174.0,302.0,230.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.132451540404636284687573046445,152,182.0,302.0,230.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.466882546400765179514720493533,153,181.0,302.0,226.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.257867739057212950231734773835,154,181.0,305.0,228.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.274892905375607516638254442879,155,176.0,311.0,225.0,379.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.169761762052067918267345742109,156,170.0,317.0,226.0,379.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.258260747408400875211386614439,157,173.0,303.0,226.0,378.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.216019033276735401437156505895,158,173.0,303.0,228.0,379.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203064829029902600421965857546,159,175.0,304.0,228.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.213060240102698385347247847358,160,170.0,306.0,226.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229165840444155750133008727586,161,176.0,313.0,229.0,385.0
