sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.199058980195017724545131330887,92,314.0,271.0,354.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338595625492579455716894296573,93,317.0,274.0,358.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.287524589519210134450659044173,94,309.0,276.0,356.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.900489073339985597638751375777,95,312.0,280.0,356.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.266633524272507383186537619113,96,312.0,273.0,355.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.980726818296358060926337287059,97,310.0,277.0,360.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.169045270181289568877496430871,98,310.0,275.0,357.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.539827726084780774514982708253,99,308.0,271.0,354.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.281270164124449840318372412722,100,309.0,269.0,355.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.159272727912757508595543181317,101,318.0,266.0,363.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.266103326831499397666417121376,102,311.0,267.0,363.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.193143697338226876733295449093,103,321.0,268.0,362.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.833638867144499083257038671316,104,316.0,263.0,360.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.308785185590531288429081356544,105,318.0,266.0,368.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.159359649168159607048693949609,106,312.0,267.0,363.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338718008088162341154628715614,107,311.0,261.0,361.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.316343600862087065643764987886,108,315.0,270.0,364.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.893469379791002518749302215691,109,311.0,262.0,364.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.205334580357790045783386662041,110,316.0,263.0,366.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229383358668572192609992735136,111,319.0,266.0,371.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.163766151428208794806245695366,112,315.0,268.0,364.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203180417555155835203910509285,113,319.0,264.0,372.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.299479961247216780941805053541,114,313.0,266.0,366.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338192560284570622894345263181,115,316.0,267.0,373.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.283321758916427981606311990183,116,315.0,261.0,372.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.311016489522384583580862875286,117,315.0,259.0,376.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110000102251048084110921465130,118,321.0,275.0,368.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.274479821478355912912817139177,119,316.0,272.0,358.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.391052162273864233111799386729,120,317.0,274.0,360.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.919445268350811915127627899608,121,317.0,271.0,362.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165952387238410629141432086678,122,314.0,275.0,354.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.336874760260572649818785903920,123,319.0,283.0,360.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.130886461159026520002593920699,124,318.0,279.0,348.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.834320048408970769542100821567,125,320.0,291.0,343.0,328.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.624945266568324631667350881511,126,320.0,297.0,345.0,321.0
