sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.295702014488106642028103307609,14,129.0,295.0,183.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.109898488213733021308193755381,15,110.0,283.0,187.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.274960954318140104769953203077,16,108.0,276.0,198.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.171662863120429827762025541298,17,103.0,274.0,208.0,380.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.261861921637724573958991788448,18,104.0,265.0,210.0,369.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.224572427010368535540842278849,19,84.0,264.0,219.0,381.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.309582320389332629831440605533,20,99.0,258.0,220.0,396.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.279595398321224391438909617641,21,78.0,250.0,225.0,393.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.116223782022833234984101386329,22,84.0,246.0,225.0,392.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.732508696679377383274863049039,23,80.0,242.0,225.0,395.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203966943575411675381539491152,24,75.0,240.0,234.0,388.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.291958198654792722323514285491,25,75.0,245.0,232.0,400.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.296236572088604834142748643606,26,78.0,240.0,224.0,401.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236020307098038599409655829660,27,82.0,253.0,238.0,402.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.260994987126177859384036728023,28,77.0,248.0,222.0,395.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.317201203034258987135391939140,29,69.0,253.0,221.0,397.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.490797690991599322042530090289,30,81.0,253.0,222.0,411.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.182567139880464740563158495120,31,69.0,252.0,228.0,415.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.201256459289633614732603197205,32,66.0,259.0,222.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.260817897486953381911789699619,33,72.0,261.0,213.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.256452053152057031858597692886,34,78.0,265.0,203.0,408.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.266623730473498534054714251161,35,84.0,289.0,200.0,401.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.184848520055759425192948567138,36,94.0,298.0,195.0,401.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.300424696660089462652023844672,37,100.0,308.0,188.0,390.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.200271936422299531244234077972,62,127.0,288.0,185.0,351.0
