sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.220673676207968845601025871924,13,115.0,291.0,201.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225589895514587929089048659863,14,118.0,281.0,201.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.273086005948049363482407364215,15,103.0,277.0,203.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323577901749681604259204127840,16,100.0,270.0,207.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.252604989085516510562608365276,17,97.0,272.0,222.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.438994077932560191037007432235,18,91.0,259.0,224.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278020960104896083653154858731,19,87.0,254.0,226.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.128553204567519972454162636765,20,92.0,251.0,231.0,398.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.276582609280181082209154661533,21,79.0,254.0,228.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.266917660017844386798794817809,22,70.0,244.0,234.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.265788605359463943131932530649,23,85.0,246.0,234.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278657881797632842396621592329,24,70.0,242.0,232.0,406.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.175831943324559019764761848682,25,66.0,246.0,239.0,398.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.662900681418675475094067240644,26,68.0,246.0,239.0,393.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.269330835423459599777743168787,27,76.0,254.0,236.0,400.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140136100082593791275972027341,28,81.0,249.0,235.0,415.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100745516588194379441760997804,29,76.0,259.0,232.0,396.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.207907135908578819498253303663,30,78.0,250.0,245.0,405.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.215953809378143516978720818605,31,83.0,260.0,230.0,400.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.290960857302579890262552945316,32,72.0,267.0,223.0,404.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.274912756421827164753507697771,33,73.0,270.0,206.0,396.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.155367392891274773624868650947,34,66.0,276.0,206.0,395.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.207960046388323950181850688404,35,85.0,292.0,198.0,409.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.169198275588062846739741111305,36,87.0,291.0,200.0,406.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217107650306589950077835899148,37,81.0,309.0,195.0,387.0
