sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.319157848430526474691395244272,24,146.0,318.0,250.0,402.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.222538044229792598561517307856,25,135.0,306.0,240.0,404.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.154227952679189893488682855648,26,136.0,309.0,241.0,394.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.796364081787491517247884316374,27,130.0,295.0,244.0,411.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.260686488077952301522296984696,28,127.0,298.0,250.0,416.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.193202254147608799003485368379,29,134.0,298.0,254.0,407.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247898176397318630486244266958,30,118.0,295.0,240.0,399.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.198842824714103678306588507530,31,125.0,301.0,236.0,405.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.488597984701551378577816225362,32,133.0,298.0,252.0,408.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.109569532138952320255795193464,33,129.0,300.0,254.0,424.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.193397157798841214449410390971,34,140.0,313.0,236.0,412.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.196443438030034430854653058151,35,137.0,324.0,242.0,410.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.145226498505942521505660573360,36,116.0,315.0,227.0,410.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.150613724430036032130388576267,37,137.0,332.0,215.0,409.0
