sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.354540065474522159856222140032,7,305.0,272.0,364.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.184573045125822273926072906960,8,295.0,257.0,364.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.141099390134441156121184997526,9,278.0,256.0,383.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.153464994949851574772257680385,10,283.0,252.0,384.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.134833576049859268665965070171,11,281.0,241.0,389.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.302543401793927720165322095468,12,289.0,239.0,388.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.227117779154500830937201383651,13,277.0,233.0,395.0,373.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.175792861741221778578651237920,14,290.0,225.0,398.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.340249783386133082220796335853,15,274.0,231.0,398.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.389884765093486418166604265827,16,286.0,221.0,410.0,384.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323821600489237416932258453961,17,283.0,222.0,401.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.293770945590040451377658329506,18,289.0,242.0,408.0,393.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.157439446953510221384206135914,19,286.0,236.0,407.0,387.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.184995594468490075974342115473,20,284.0,235.0,415.0,384.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.267146796313024489375573221433,21,293.0,242.0,408.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.156994673799132939538628073086,22,277.0,234.0,407.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.244660745062220662572971951592,23,298.0,241.0,413.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.553555778779344993944814063472,24,312.0,251.0,418.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.520802079440468851055205419311,25,305.0,255.0,390.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.869588841526550169535407246269,26,331.0,280.0,387.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.233802184106357518484063595991,63,304.0,259.0,371.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203083732455305099105117965015,64,287.0,248.0,377.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.151088575663416959669114162985,65,283.0,243.0,392.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.276344182178181605441334626490,66,278.0,245.0,389.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.315664908203967684496804118017,67,264.0,239.0,386.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.931654810893052416314764978881,68,260.0,212.0,390.0,370.0
