sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.319078072563246713259486471363,19,322.0,315.0,375.0,373.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.223555792346224121291009999334,20,314.0,310.0,395.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.856717967573036787809908866241,21,305.0,307.0,390.0,406.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.116439908792273857151079152927,22,300.0,298.0,387.0,400.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.258085984221221292325353998664,23,307.0,300.0,390.0,397.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.257856459214758730265302257996,24,309.0,293.0,399.0,395.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.501875774437494706086763872552,25,309.0,280.0,399.0,398.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.637929098521859300917577305778,26,313.0,280.0,410.0,404.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.191465576920563367907941178377,27,319.0,287.0,408.0,395.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.294398473826525730328318464527,28,302.0,291.0,401.0,385.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.300457859790766148553598956418,29,315.0,308.0,389.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.292007438026239953534452225518,30,326.0,309.0,387.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.109240879735114142171417349716,31,343.0,315.0,379.0,372.0
