sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.226722357188838504364570176814,15,302.0,238.0,375.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.238365763349345238384313093074,16,301.0,248.0,381.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.922959759256515795206147844798,17,295.0,243.0,390.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.183789709782722828545457179078,18,287.0,244.0,392.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.360958390081703792192056008686,19,298.0,252.0,390.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.192266699388686946163707222086,20,309.0,249.0,397.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.310814284264267860467393221993,21,307.0,248.0,382.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.690955574105960054084167367723,22,299.0,262.0,374.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.307001610401270114718217225709,23,310.0,262.0,381.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.154411846436081742631863540696,24,314.0,280.0,384.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.485910133508664867897646156554,66,309.0,248.0,368.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.322026979163461613238625756401,67,300.0,242.0,363.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.263130729120731933844204402721,68,298.0,246.0,371.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.267396702913831054634584057827,69,294.0,239.0,380.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.497081154013692715579826280738,70,301.0,243.0,389.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.529636715813754349154347268905,71,311.0,248.0,388.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.130616169030024812452143439455,72,312.0,248.0,391.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.240430508332940139141763981409,73,304.0,247.0,391.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.222356650124001119917875333431,74,295.0,256.0,392.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.350790510772779943175148169146,75,304.0,260.0,378.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.851364364508707000322475384851,76,323.0,275.0,387.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.163244651693036444183506658016,117,306.0,262.0,373.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.190600935896818960702308902720,118,296.0,244.0,383.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.176554095777561165047711616812,119,290.0,241.0,387.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.174648671217313654932322448093,120,293.0,242.0,382.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.107281321774352054116880552376,121,299.0,246.0,392.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.162427434122697882830797647250,122,296.0,245.0,392.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140942856864834091178298245412,123,306.0,245.0,398.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.291101575864799874235370971092,124,305.0,246.0,396.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.168535746256466736330988216634,125,303.0,245.0,390.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.163611256107675081633254226561,126,301.0,255.0,389.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.102607781123650530533196955269,127,307.0,265.0,378.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.207907365393727175808551544260,128,311.0,276.0,382.0,338.0
