sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.560234978145625245859157965371,15,271.0,239.0,388.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.309033376335120477803744432747,16,278.0,248.0,398.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.297810857622492677992933587193,17,281.0,248.0,403.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.209060072927344451462647903675,18,278.0,253.0,387.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.986446055663498501610859500608,19,308.0,252.0,398.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.134296947210569433290064730002,20,307.0,246.0,404.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.205192098190341091858401962593,21,306.0,248.0,407.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.309579883487245737427734116356,22,299.0,259.0,398.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.318193818937639758027921670454,23,295.0,264.0,392.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.213106691976087757145966280423,24,295.0,271.0,392.0,359.0
