sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.175190816594470806784562386589,19,327.0,286.0,383.0,395.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.215390161121426972710098398420,20,310.0,292.0,394.0,395.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.455019369206907342385809232521,21,312.0,295.0,397.0,413.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.136199226047714291740390610293,22,315.0,282.0,403.0,421.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.153303620036871590723724578618,23,315.0,273.0,398.0,415.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.309508408162426008952255290689,24,315.0,262.0,416.0,393.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.270743597790610101312904116052,25,291.0,270.0,417.0,403.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.245948485827790963790245437491,26,317.0,273.0,408.0,390.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172232925769275872556252533522,27,313.0,269.0,405.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.676210180307880099567888666671,28,326.0,283.0,408.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.128041792713944335251366206749,29,327.0,289.0,422.0,380.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.319334707258055911532453220820,30,318.0,274.0,417.0,397.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.121621065583320716410746205637,31,323.0,280.0,407.0,386.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.941699154311147016250784137633,32,331.0,283.0,382.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.342378199144787514781255208931,73,319.0,300.0,392.0,399.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.324221734956101007064337591950,74,298.0,286.0,421.0,421.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.139755543541223399938439609028,75,322.0,302.0,409.0,400.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.209474923959239835385187634502,76,311.0,286.0,410.0,420.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.273406005183985456750326144883,77,302.0,263.0,416.0,411.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.216693169938284708212854257330,78,307.0,269.0,404.0,394.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247192876449434024632229276821,79,310.0,277.0,419.0,395.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.184546969339286632705168389665,80,304.0,260.0,415.0,392.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.520072394606800343952459837770,81,304.0,256.0,422.0,399.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.238930185577925779905218931071,82,321.0,277.0,419.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.213925143839812531796438927253,83,324.0,274.0,426.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.337720701505247559834432755872,84,316.0,280.0,413.0,402.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.560424098959276959167111188089,85,321.0,273.0,400.0,381.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278401813213494628051141744523,86,332.0,280.0,387.0,370.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.538038688177274783666208322640,126,326.0,309.0,378.0,399.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.198896463598415500138116045324,127,311.0,304.0,401.0,409.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.249123318051541864393348555560,128,299.0,283.0,414.0,429.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.134402106152208491520012074023,129,301.0,275.0,401.0,406.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.771842666488658747602860358605,130,311.0,276.0,419.0,415.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.159423586326721692276471574621,131,287.0,262.0,419.0,420.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.179212066920436487446903131215,132,318.0,270.0,413.0,415.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.292777267026536073028898054600,133,312.0,262.0,419.0,400.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.206552711340308353954764318193,134,306.0,265.0,439.0,414.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.187960076829123876262897092851,135,301.0,269.0,423.0,387.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.773813200044384250948976959358,136,315.0,262.0,416.0,390.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.290960458252222102153301343663,137,323.0,276.0,421.0,398.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.292811535049633053990993847117,138,313.0,283.0,410.0,385.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.768471609336741360948888992576,139,322.0,292.0,409.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.233125651036460708913225892905,140,334.0,293.0,385.0,368.0
