sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.377588959609318356038092656309,26,280.0,235.0,333.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.204225875509618502622180099827,27,284.0,248.0,342.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.334121235792488139704874779087,28,282.0,249.0,339.0,329.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.561508492930744775728311331609,29,278.0,243.0,368.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.208941864846453967648759464638,30,281.0,251.0,334.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.308713473144515820577800977919,31,270.0,244.0,367.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.231969201530990197359154841264,32,284.0,229.0,380.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.258319458696433150316965249485,33,286.0,246.0,337.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.843550461885038551818935695754,34,285.0,242.0,338.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.290822354855776138701755467370,35,280.0,246.0,343.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.230466664157270095567481904981,82,280.0,247.0,337.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.169738462829677686090218914246,83,287.0,255.0,328.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.665107348889323703361157441869,84,284.0,237.0,352.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.180468668868498440557577240729,85,272.0,212.0,334.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.289967548333417415387108657903,86,275.0,221.0,347.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.207597989655164486527071147035,87,277.0,233.0,348.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.347994440502821967265976815660,88,281.0,243.0,350.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.197904601759022617465495594699,89,285.0,242.0,337.0,328.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.209556364306124863180672303118,90,292.0,250.0,334.0,329.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.306000726352260735280921103278,138,278.0,250.0,341.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225321456731431881187052794182,139,286.0,245.0,340.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.265900258710884371157173593599,140,279.0,236.0,355.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140098125275511727924847375646,141,282.0,209.0,346.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236204465307895697182482547121,142,284.0,204.0,356.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.211706962042647869007268944223,143,281.0,217.0,357.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.159480815637855092915162147215,144,278.0,228.0,345.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.330492926841336699535083131359,145,274.0,233.0,345.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.306076089532601240261961982001,146,279.0,244.0,349.0,343.0
