sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.776626219461983456433892312970,12,303.0,276.0,359.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.148586440658015524442363170392,13,310.0,270.0,357.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.788079382353181276546064712591,14,297.0,256.0,363.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.125092734359428704329908098840,15,297.0,269.0,370.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.154538627785943721495164212097,16,302.0,259.0,380.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.752843454690608460544469129581,17,315.0,245.0,372.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278855476667120324599994242770,18,299.0,248.0,377.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.713731579506740696275767644483,19,303.0,250.0,381.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.101922016394260201666970040057,20,306.0,244.0,370.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.143352335777440623158908634706,21,313.0,249.0,379.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.169098457470119470654426953746,22,304.0,250.0,381.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.287213299424891594040130817254,23,312.0,245.0,366.0,337.0
