sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.309176990644469560019858572710,13,162.0,307.0,205.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.241959504696702201499100495031,14,162.0,303.0,213.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.126979481933775483593145018964,15,165.0,293.0,216.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217172930515079947076028894865,16,147.0,292.0,210.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.173494465896350162165132810349,17,142.0,286.0,208.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.119024450576014451060509151098,18,139.0,286.0,221.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247472905177320133006851027381,19,138.0,289.0,227.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.279283146266596480115546697470,20,137.0,292.0,222.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.255349681980241359744317064954,21,135.0,282.0,226.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.249529061886354904871946420306,22,135.0,279.0,225.0,369.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.222884847347857176465640630676,23,139.0,293.0,233.0,374.0
