sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.336570595391033532647860449493,1,141.0,216.0,199.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.662563438556094267816943411950,2,125.0,189.0,193.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.237401797370010263875896082098,3,113.0,181.0,201.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.284030569085780760478238178863,4,113.0,190.0,204.0,320.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338696539448448669340753785718,5,112.0,173.0,210.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140424614302519589522646611337,6,102.0,178.0,198.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.202336001733084356023070935629,7,106.0,169.0,204.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.103555609732084392009261186359,8,110.0,180.0,210.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.293897184140134867251487184270,9,104.0,176.0,201.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194932415131443812820897777764,10,99.0,170.0,199.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.279995459658500199037280259134,11,95.0,177.0,190.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.464979541629643815400503477883,12,110.0,189.0,184.0,276.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.195151328198696920589877390027,13,115.0,185.0,178.0,270.0
