sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.242934918440472019671486876592,10,145.0,244.0,241.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.816752220580110432496398010001,11,142.0,237.0,228.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.161990492739354801592623624101,12,142.0,241.0,228.0,356.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.158509827237725219370706444995,13,153.0,204.0,225.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.150042696342705262445849735373,14,167.0,190.0,229.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225040883474329870548710301809,15,169.0,186.0,232.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.313987644560847546037318049248,16,181.0,191.0,228.0,320.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.543581177706189418685256577471,17,181.0,191.0,237.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.188870434801285790267449928073,18,189.0,182.0,237.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.340794991530587133168757232185,19,187.0,185.0,235.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.244336749536616158327419755202,20,184.0,175.0,263.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.103593409596244675560613923371,21,187.0,171.0,265.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.117235275497148520889901729662,22,187.0,166.0,251.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.903417073928998252687968117323,23,173.0,186.0,238.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.228152765273468194695378537432,24,176.0,164.0,241.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.885298417841638570654902112058,25,175.0,166.0,251.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.107712375697939688889282264305,26,181.0,169.0,246.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.932493276907018482293356787833,27,175.0,165.0,245.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.106387331940962916339609829944,28,178.0,160.0,226.0,276.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.749031981495598263074995772680,69,147.0,225.0,229.0,328.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.259526173472938522402569846436,70,134.0,233.0,218.0,339.0
