sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.262044447792574838914853734462,9,137.0,248.0,231.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.120803656521683518484558976910,10,126.0,241.0,231.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.884118465256099671560070085920,11,137.0,239.0,241.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.578988288937972117059677089433,12,130.0,237.0,231.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214591941727706721633142108947,13,139.0,218.0,242.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.106470031635470858428973572138,14,165.0,200.0,247.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.209948987265522829132936615530,15,172.0,195.0,232.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.256589134226177213814342716090,16,169.0,180.0,246.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.379215158375258404953925599903,17,157.0,195.0,250.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.868567024919793207804612792291,18,179.0,195.0,246.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.636827744283433136347028093611,19,181.0,190.0,237.0,320.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.270666769593665093945003369054,20,179.0,186.0,243.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.228257950613804418064752101164,21,169.0,176.0,254.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.221685103249040354346829410852,22,167.0,171.0,255.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.178909847727562035968624799710,23,176.0,181.0,252.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.184212225259289156774926655698,24,177.0,178.0,231.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.175964148963815786187387305465,25,174.0,172.0,228.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.875791703368566113672213506723,26,175.0,181.0,236.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.310917633839079886620023361336,27,175.0,169.0,230.0,247.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.163366713421077042502224875274,28,178.0,177.0,233.0,249.0
