sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.305448730778252824873462901660,34,303.0,308.0,381.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.340149730316990541385097839498,35,291.0,306.0,371.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.188701831239678975974380814625,36,316.0,312.0,375.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152703905844339032918068244263,37,318.0,303.0,410.0,425.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100619734430112716100918510371,38,313.0,309.0,410.0,441.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.910619630329500688785610491770,39,307.0,311.0,414.0,427.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.362697159648814649729576384577,40,292.0,294.0,413.0,439.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112014043957846322962792008719,41,298.0,318.0,421.0,430.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.311841539112864402136087084173,42,297.0,312.0,425.0,433.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.866374053022119664554387631653,43,289.0,314.0,421.0,437.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278904476777202145509321382701,44,289.0,316.0,448.0,445.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.790737466385863643120713062307,45,291.0,314.0,445.0,439.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.218019280307655336892602486546,46,291.0,310.0,425.0,420.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172164456582925921689135760741,47,296.0,309.0,428.0,439.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.240181544034352782911200564995,48,287.0,308.0,425.0,424.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.202738782578225140482073038418,49,289.0,304.0,448.0,456.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.160522339280160555166635835000,50,286.0,301.0,454.0,428.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.551125309208825494291606626966,51,287.0,300.0,441.0,412.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.243277825185003465233201235566,52,288.0,313.0,451.0,422.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.292136226794811221905940251968,53,299.0,327.0,437.0,424.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133425003984466783685583903337,54,300.0,313.0,449.0,420.0
