sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.138584133191203453116295276825,26,326.0,242.0,384.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.440269749580986598922727444751,27,316.0,233.0,384.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.389039173349673307578329237087,28,306.0,240.0,401.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.166338379348683785257485671416,29,308.0,239.0,390.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.208746711893525899667429939708,30,313.0,238.0,395.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194393709936144945013231936353,31,309.0,256.0,398.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217666443624549079477724933149,32,321.0,255.0,400.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.293092209273877740785543740287,33,325.0,259.0,393.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.716467873041051499001448119208,34,319.0,250.0,395.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.281530971513099156865783897277,35,328.0,242.0,403.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110991904272336542700527759605,82,320.0,222.0,387.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.209938367588431263278626853343,83,316.0,233.0,384.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.143231157305252626228422454454,84,319.0,233.0,389.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.163567863207891898641156068521,85,316.0,238.0,392.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.523278278559773278245727198016,86,313.0,240.0,394.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236653305813646053776087632703,87,308.0,244.0,394.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.123139980379690243911622792182,88,317.0,250.0,405.0,320.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.269592759076653864242782872178,89,322.0,256.0,401.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.263705500373157152296673520352,90,328.0,246.0,393.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.254827864179534595592342613340,138,321.0,232.0,385.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.269902185456428282380634745984,139,322.0,238.0,391.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.156850903541184289875913512316,140,316.0,234.0,392.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.466602660243750225129582663467,141,311.0,242.0,399.0,326.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.245950753267808281405069074081,142,313.0,240.0,396.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.362330608676795302899834104134,143,313.0,250.0,397.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.156492738342631833291439505736,144,313.0,244.0,408.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.195541949337826690684950229968,145,315.0,241.0,398.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.224738237220620476827677383970,146,327.0,252.0,397.0,324.0
