sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.220083762283902247087272342530,17,278.0,331.0,375.0,415.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.111342442962319587198748968291,18,272.0,321.0,394.0,434.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.125598705884798290688964531296,19,269.0,315.0,393.0,418.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.243822564808316804296232849937,20,274.0,302.0,392.0,424.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.290334832345940851042930708140,21,251.0,290.0,422.0,433.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.748278800776633842823221107287,22,256.0,282.0,419.0,442.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.808414613364609816748413029961,23,269.0,302.0,418.0,436.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.150971637467057094742031127786,24,257.0,273.0,420.0,439.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229139099151250079465252470862,25,251.0,277.0,431.0,465.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.224501791354435472255858640509,26,249.0,286.0,416.0,428.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.322719479532818819549004686274,27,260.0,275.0,425.0,420.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.259346837870122745069260426868,28,250.0,282.0,434.0,446.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.162107431529275759815435279770,29,265.0,293.0,423.0,420.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.669017261440469330565800839409,30,278.0,301.0,416.0,409.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.259650232956750595615700822110,31,267.0,294.0,412.0,427.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.268674759999125018578030421861,32,291.0,302.0,411.0,420.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.288739253050527775396740041564,33,304.0,305.0,384.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.114298718973001018088380580347,73,265.0,324.0,400.0,428.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.160234132640350128835765290097,74,263.0,324.0,395.0,416.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.254496769283220027005067768646,75,264.0,322.0,391.0,416.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.174008067948863504808407999712,76,257.0,305.0,422.0,426.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.164814476270600952467185016175,77,271.0,301.0,435.0,423.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.793758947791033755944854788802,78,263.0,294.0,398.0,418.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.180976909385552291836665890677,79,260.0,300.0,410.0,424.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.245484810569499005765622395266,80,261.0,283.0,430.0,426.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.964753760290663857562511959975,81,245.0,274.0,426.0,426.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.266070392660629312740571451916,82,243.0,286.0,422.0,422.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.204206679454668831706605804715,83,257.0,292.0,418.0,433.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.149415250220949261695638950586,84,260.0,292.0,427.0,436.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.227357308276036638350236340712,85,263.0,286.0,416.0,422.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.160923905899767069423395332452,86,274.0,296.0,401.0,410.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.384901038231264001935180170022,87,278.0,295.0,385.0,407.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.251627213924559176008195762801,88,281.0,306.0,393.0,396.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.198866498877874013958138638442,89,303.0,313.0,370.0,383.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.106375120777755332470942915508,125,269.0,318.0,392.0,419.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.206666490717827380921597389361,126,261.0,320.0,395.0,419.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.204429369205163303047186359166,127,263.0,312.0,389.0,419.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.108661170446676206668888651203,128,259.0,318.0,395.0,418.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.143636319546818693457692901449,129,254.0,312.0,422.0,431.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.828827184130390024896896890901,130,250.0,301.0,436.0,442.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.257517177444835366860723774054,131,266.0,301.0,421.0,431.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138701445959532347704391484547,132,254.0,293.0,425.0,432.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.310727395367914826206131906530,133,261.0,277.0,420.0,425.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.177578894430348166072437942941,134,248.0,276.0,439.0,424.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.918090392188899808586581290618,135,242.0,287.0,421.0,445.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.159257485326317725462103121058,136,245.0,288.0,430.0,436.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217205943472098770931237177203,137,239.0,271.0,424.0,432.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.102541250369160512127635267963,138,263.0,286.0,439.0,445.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.240579393608825525410628917814,139,267.0,290.0,413.0,419.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.320901885078219132434986981791,140,287.0,299.0,381.0,404.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.392832771733505402941576425232,141,292.0,300.0,390.0,389.0
