sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.116898075927068280995741290596,13,149.0,247.0,205.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.337863073684213128003682481362,14,135.0,235.0,217.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.206222226511537677986795022576,15,142.0,239.0,213.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.202665360074037761095913045398,16,123.0,241.0,204.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.379321192068400604585303302544,17,120.0,231.0,214.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194759797306444841563104532249,18,116.0,206.0,213.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.370851982170921594230051416911,19,120.0,208.0,213.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242498765649776166589146079908,20,118.0,205.0,214.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.188222514866799616428836964099,21,116.0,211.0,219.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.180533031801189521701271582110,22,115.0,220.0,209.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.294492175561110247494443691285,23,129.0,221.0,204.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.220326323601392821701772769706,24,139.0,226.0,217.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229357939882330572544716646270,67,149.0,251.0,218.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.156417176278955072396729225102,68,142.0,242.0,216.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.619607661681385961889240427414,69,131.0,233.0,220.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.351298257871331925776022751743,70,143.0,252.0,215.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.398081494308854430393907870767,71,127.0,227.0,210.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.304741473260670402627532856339,72,115.0,216.0,222.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172306889322806887729212407138,73,116.0,203.0,211.0,322.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.113820653557308376592479316102,74,117.0,205.0,214.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.195261834764670660447925162451,75,116.0,206.0,216.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.113142349361163798552765385594,76,129.0,218.0,213.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.159791077346448168439186419293,77,135.0,224.0,204.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.129202485831416029807700417765,78,136.0,224.0,222.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.185080078288734534151482224456,79,143.0,234.0,212.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.255505235543764161996569440939,122,155.0,257.0,211.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.284269246903275959370564197022,123,143.0,245.0,213.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.768634760064460321682226210257,124,137.0,241.0,216.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.569170560721699202383662286910,125,131.0,242.0,209.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277715824011320390185978237866,126,131.0,240.0,206.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.547247556830680348344539481094,127,116.0,233.0,208.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.117518209765266394881545933851,128,116.0,203.0,212.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.121144249853473948044035299042,129,121.0,202.0,213.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.290777345235341916663162474972,130,110.0,203.0,209.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.255616285488140881432531189448,131,119.0,206.0,210.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.287712730823422107027141430311,132,133.0,215.0,210.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133037672010336142863159554713,133,133.0,221.0,209.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.276773063792617777030590721415,134,144.0,228.0,210.0,295.0
