sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.231417991978890600791768214059,34,119.0,230.0,204.0,283.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.846654995333553323482491067193,35,112.0,220.0,201.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.125124565096532236171584289411,36,113.0,213.0,187.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112910297711101585527129852344,37,113.0,215.0,194.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.213731183897420236322215518142,38,108.0,220.0,208.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.474392753485848560439491840716,39,112.0,221.0,201.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.189277475160379738972415550070,40,110.0,221.0,212.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.260131937169918332806000879457,41,103.0,218.0,216.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112057673441586640420626046222,42,109.0,212.0,204.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.826671729506467253377790226976,43,105.0,209.0,194.0,285.0
