sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.183235785197500624613504620394,34,117.0,233.0,200.0,286.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.109966891625130904813762900364,35,117.0,225.0,195.0,274.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.173412292235579888023232648235,36,122.0,210.0,193.0,285.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247046981767823274050948146817,37,119.0,212.0,200.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.234491987958743020510144726497,38,119.0,213.0,202.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.196832952095979712557531893484,39,117.0,215.0,201.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.834216924324026343059175893844,40,103.0,218.0,209.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.154606048093817305894655364014,41,122.0,223.0,205.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.104479149929822438989906435177,42,116.0,224.0,198.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.292151896805781515328593162850,43,142.0,228.0,199.0,267.0
