sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.186807238789661933250210808640,25,181.0,296.0,237.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.151615728000533008145801132570,26,178.0,300.0,237.0,361.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.322152236296259925106022385953,27,175.0,296.0,234.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.119593389509962986611670983659,28,169.0,295.0,232.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.153884518518318038055538095404,29,173.0,293.0,231.0,352.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.130937075612486326920691879655,30,169.0,286.0,228.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.156967199470850322437594523896,31,163.0,297.0,223.0,373.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.146394631090852378596782102356,78,175.0,286.0,232.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.273857159474667441251744364230,79,169.0,287.0,239.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278389124994584721630224231586,80,171.0,287.0,236.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.265385051980833810165645638588,81,175.0,283.0,242.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.273618653114769013155926842263,82,166.0,284.0,224.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.106249948993110127253748686571,83,167.0,295.0,223.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.322169906347083820367288565371,128,171.0,289.0,242.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225266367409925569801551872622,129,169.0,278.0,234.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219408407121138743496912586987,130,164.0,286.0,228.0,369.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.114145512842577214899908371388,131,175.0,293.0,252.0,381.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.188725270943574670687155717324,132,166.0,293.0,234.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.867286648570867212110774758645,133,162.0,290.0,231.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.218543700591444015939938064887,134,168.0,296.0,228.0,383.0
