sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.211622308723817516621698423924,34,154.0,264.0,195.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133468891943420729004817710275,35,149.0,265.0,188.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.337793891452499493105873710189,36,150.0,267.0,195.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.621370389006681137024100633381,37,153.0,262.0,191.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.768438413132924003359607947786,38,151.0,271.0,192.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.284235447441309587253280619275,89,148.0,276.0,204.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.328422639640152275741804700003,90,148.0,274.0,198.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.471521718943674126188352751752,91,152.0,273.0,197.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.211881685257414314194151656120,92,139.0,273.0,202.0,320.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.991258871202519131656193681601,93,137.0,265.0,197.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.598688873943770266529852653989,94,145.0,268.0,195.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.176627072421489521756066214541,145,151.0,276.0,191.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.317861910134126548659015762733,146,145.0,270.0,195.0,323.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219162466021857739099906926945,147,144.0,268.0,185.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.239643168404334766900541727262,148,144.0,274.0,183.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.318331302123493612678319992757,149,145.0,274.0,191.0,316.0
