sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.125953680368954113662322103736,163,218.0,318.0,255.0,358.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100523723274544095287932671974,164,202.0,331.0,250.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.148227280868080167080007576284,165,201.0,321.0,251.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112257241896611202428308663327,166,203.0,327.0,256.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.307253073337837424419675693560,167,207.0,326.0,247.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.196030212139429554148418031952,168,205.0,325.0,248.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.117148611588391548199139104337,169,205.0,325.0,246.0,366.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.161979762550783290390772275275,170,201.0,318.0,255.0,369.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.583936506480470528085613621873,171,201.0,321.0,244.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.298790231726532797461108657728,172,206.0,318.0,247.0,369.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.244678094424229673343523092025,173,205.0,317.0,244.0,365.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.303152952610292850813330761607,174,203.0,317.0,246.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.842220976705607024636277387494,175,199.0,312.0,245.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.294677439387065467680470204851,176,201.0,308.0,245.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.313193950870215797022616365201,177,202.0,301.0,247.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.256149789617301751918928264418,178,200.0,312.0,241.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.757305854626140098103000668262,179,202.0,314.0,242.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.117925443611471402322805500154,180,202.0,311.0,244.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217848914345903241525967547227,181,202.0,306.0,246.0,363.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135696228556939978460041302036,182,208.0,303.0,244.0,364.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.264409636057764555934155290965,183,200.0,303.0,255.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.215712831501699382980816937482,184,207.0,304.0,251.0,360.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.949249832868287089489755459285,185,208.0,309.0,249.0,354.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.332020435969881122838324534496,186,207.0,303.0,250.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.607676419216718420112981182303,187,208.0,300.0,247.0,350.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.246696556509777439712261750177,188,204.0,299.0,247.0,355.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.140306480822522008720979282483,189,208.0,302.0,243.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.262597947437626587038910603340,190,210.0,305.0,249.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.102871201535934631337321495853,191,207.0,301.0,250.0,357.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.111752198762997952133794697252,192,208.0,299.0,256.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.160360393385266029726151625623,193,204.0,298.0,236.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.109651363125213836565444060052,194,207.0,295.0,242.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.537177729776942570748116765777,195,206.0,296.0,237.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.684701611308629759422807057402,196,208.0,298.0,237.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.336179695897165324854132123038,197,200.0,300.0,231.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.158344592354260294819538284493,198,200.0,296.0,237.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.186551575274672374003269931352,199,205.0,296.0,233.0,339.0
