sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.103593820903185749074255663196,160,316.0,285.0,348.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172965016311778894561712587334,161,327.0,284.0,349.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.289366248881025988424247004534,162,324.0,288.0,348.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.284194315204019342229246749457,163,313.0,279.0,347.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.147987851011537733464858701475,164,317.0,283.0,348.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.158174790110133695296139368682,165,309.0,279.0,348.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.309629161961209896389616826019,166,305.0,276.0,352.0,318.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.216270540659876586552746730589,167,303.0,270.0,350.0,320.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100436650956340012584392599393,168,300.0,270.0,352.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133030180160953524772408797758,169,303.0,267.0,354.0,330.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.218751368388026754864099524083,170,300.0,270.0,351.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.169230583362362023226137224305,171,303.0,266.0,354.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.248575800389591483291755956335,172,296.0,267.0,356.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.420960891730807683370647609586,173,300.0,262.0,356.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.198904856378744883917432242659,174,298.0,267.0,358.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165890054179130679930899035776,175,295.0,265.0,359.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247719589405701500508691041382,176,297.0,263.0,360.0,337.0
