sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.109530400886992271012853984688,66,142.0,290.0,206.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115832462748794741637550814209,67,144.0,287.0,204.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.367069382306170439422727709673,68,144.0,290.0,202.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.120060031117597034717920261289,69,140.0,292.0,202.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.342550265640589672674673152322,70,143.0,287.0,202.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.864952096009555351040679560657,71,144.0,285.0,203.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.229182562843936538126249348043,72,143.0,285.0,200.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.230437975629389419655972634024,73,141.0,287.0,203.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.303833198798315902442330532320,74,138.0,289.0,203.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.168821897679635627503638756431,75,139.0,283.0,205.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.234983508810209230940695664675,76,137.0,285.0,204.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.305354278600696349218719162098,77,139.0,283.0,207.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.662964478989562426130344137206,78,136.0,286.0,204.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.237610686785805788538035926022,79,141.0,282.0,205.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.113397703139806774550848896862,80,144.0,282.0,207.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.594214994970876431687312032956,81,146.0,281.0,205.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.155277432735815619011155069972,82,147.0,284.0,205.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225953591205430390524532333425,83,148.0,286.0,207.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.287589510210153190286699682410,84,152.0,281.0,208.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.544344501390850122286380578324,85,157.0,284.0,208.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.408195015397163625666359175296,86,160.0,282.0,204.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.168582304561387876696174479610,87,157.0,279.0,205.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.254341573998234267994805881112,88,158.0,283.0,202.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.209659019369766229662303561137,89,163.0,284.0,204.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.319036483898470578856332448470,90,157.0,285.0,204.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.279850149380218565085865602912,91,156.0,285.0,204.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.171602178194707974133058944053,92,162.0,283.0,204.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.555262133414909061626171176200,93,162.0,286.0,203.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.181215420719871204665082310498,94,160.0,286.0,204.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.852395536599439772740429410651,95,164.0,292.0,202.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.285083517040916277793670541547,96,163.0,288.0,199.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.160624110086380862594894862136,97,162.0,293.0,199.0,331.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.234588946358906567984708572357,98,167.0,297.0,197.0,328.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.705480211507527920661783607156,99,168.0,297.0,193.0,328.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.235616389921866832940422485732,100,168.0,298.0,193.0,330.0
