sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.249416994117351517920593081470,102,147.0,263.0,183.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.277169881107027129850009009535,103,125.0,267.0,184.0,317.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112557056618540166121900332475,104,122.0,259.0,185.0,316.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.527496149620107117262970676820,105,122.0,263.0,181.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.226095349420162179232024282262,106,124.0,264.0,177.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.547779963025429886966611915414,107,118.0,261.0,177.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.267073356877327288501758929301,108,118.0,263.0,177.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.321546189742970374229827766298,109,114.0,262.0,184.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.143472337974820402514958344101,110,119.0,253.0,179.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.224170394628856793504397221143,111,121.0,258.0,183.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.909510585755816318432854666580,112,116.0,251.0,198.0,321.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.295538699113391332132217820303,113,139.0,259.0,185.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.552762389764190343938283832871,114,143.0,264.0,186.0,313.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.183870701239006595229609407803,115,143.0,261.0,181.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.480721752398268119292270499892,116,139.0,266.0,185.0,319.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.144134567064767872283444788726,117,140.0,258.0,184.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.261126741758669085501033744925,118,141.0,265.0,185.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.115919536573153238485413693383,119,141.0,264.0,184.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.492142907931763379556465670349,120,143.0,265.0,181.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.178527198088830654163459374738,121,144.0,264.0,180.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.209118090414475863330917014559,122,145.0,265.0,178.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.318104383524983103472696560644,123,137.0,264.0,181.0,314.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138980013300707443754404153353,124,145.0,269.0,181.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.247770675243367366297192647664,125,149.0,266.0,178.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138156736604600416549691196153,126,145.0,267.0,178.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.220130214657085314164678551056,127,143.0,270.0,179.0,315.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.262587325025423491647907111237,128,142.0,276.0,178.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.258651612494370806337839373489,129,144.0,268.0,176.0,311.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.126409521485309105448025611010,130,147.0,275.0,174.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.170954431887572841775482506939,131,153.0,278.0,172.0,307.0
