sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.308487959963430012524213611233,215,210.0,308.0,247.0,373.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.318672165098823577307230272040,216,215.0,305.0,252.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.235427653175083792771147267226,217,209.0,290.0,251.0,362.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.208458538336786322282062427069,218,198.0,291.0,269.0,388.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242886305273731756446434738603,219,198.0,287.0,248.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.255943909582682290417275523435,220,203.0,296.0,254.0,382.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.482192336053754166479121535379,221,205.0,296.0,248.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.190756823492738517434056384916,222,194.0,289.0,244.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.321926374958437808016452680132,223,198.0,297.0,251.0,380.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133252620240746060156203311652,224,198.0,295.0,246.0,380.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.270093712039146115369010113143,225,190.0,295.0,264.0,389.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.118365029418649231306344822289,226,192.0,291.0,248.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219547661784453078619406217145,227,183.0,290.0,248.0,367.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.142057893535864567595397803564,228,185.0,290.0,246.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.230540269436190265913322186652,229,186.0,285.0,260.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.116408777888898639183393301134,230,189.0,284.0,244.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.196645164632645592651880921928,231,187.0,282.0,248.0,370.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.138422949325093227711723795136,232,182.0,290.0,246.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.223230296725357691678734278223,233,173.0,290.0,252.0,368.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.278030295515075504653540394577,234,172.0,290.0,252.0,372.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.288139217537076176245600573449,235,172.0,296.0,257.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.862252934016184890639053905265,236,176.0,293.0,249.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.240368344613965893092464778173,237,166.0,288.0,253.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.128146679468834303631002103060,238,169.0,283.0,255.0,377.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.268763740449300768230180847615,239,164.0,283.0,251.0,376.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.333390241814325110062626952062,240,162.0,275.0,254.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.220499508133007776974395030848,241,154.0,280.0,251.0,374.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217727639721604929342576375620,242,160.0,281.0,263.0,385.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.156881566897992010531315162708,243,158.0,281.0,257.0,375.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.253101303114575587543665864624,244,155.0,283.0,261.0,371.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.879500253046025468671879865572,245,172.0,282.0,252.0,365.0
