sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.174485923865349384991518173643,251,154.0,278.0,176.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.589249391560252625583072638652,252,151.0,273.0,176.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.851805802311557448071783679214,253,150.0,277.0,180.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.104274320517059611010344074858,254,134.0,277.0,174.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.284244275044413776602230414553,255,127.0,278.0,173.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.325254205030405662161305559429,256,127.0,272.0,187.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.298188551815738260550554799724,257,123.0,270.0,173.0,346.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.721484593311430478892653372810,258,119.0,264.0,174.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.307090063771125268262354934579,259,121.0,266.0,176.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.105600408430876993189370035279,260,127.0,271.0,176.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.403703220110431362616839413586,261,121.0,269.0,180.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.244848097038119469873531862521,262,124.0,266.0,175.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.160559835958209410932339038745,263,113.0,261.0,189.0,345.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.308070936443206680745219154821,264,122.0,269.0,183.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.408185762791105074497479665867,265,118.0,268.0,186.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.170909288763430924725451874639,266,123.0,273.0,183.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.354316291627713922901586267257,267,117.0,269.0,185.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.110124636065979061694464972025,268,119.0,269.0,183.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.199491803542012405471743278976,269,119.0,270.0,180.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.242302667132805982564156082551,270,115.0,271.0,183.0,332.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112223166434619939751465156532,271,120.0,276.0,180.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.196338895011479301311234899699,272,119.0,274.0,190.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.469012696584468587881808631643,273,122.0,276.0,180.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.873516484252068227231711534503,274,116.0,275.0,179.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.364098335593131920711712221804,275,119.0,277.0,176.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.240575528668465334290167389694,276,119.0,281.0,194.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.216350965940590733719717076240,277,117.0,273.0,200.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.291951677463510703343219512630,278,110.0,271.0,201.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.220991082813860167369943177925,279,107.0,275.0,198.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.214572699232532692031381049207,280,115.0,278.0,203.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.142435206273708319266397786906,281,112.0,282.0,201.0,338.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.164131648906640364913422113943,282,117.0,272.0,200.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.235479029659854406675004825597,283,112.0,276.0,203.0,340.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.162980656630187198175425126896,284,115.0,274.0,200.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.723028079161750972133113179657,285,107.0,276.0,203.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.328619238616528802708251678816,286,112.0,271.0,200.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.220530150484472895253845195046,287,112.0,275.0,209.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.185132559324516874348798563838,288,108.0,277.0,201.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.243151296948857144140764235259,289,110.0,281.0,198.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.191408797244922670117724692712,290,117.0,278.0,194.0,341.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.329812564020957170891898178716,291,104.0,283.0,190.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.153573888515812504558147435218,292,113.0,288.0,193.0,336.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.331513593086497505350713339341,293,115.0,276.0,194.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.296345880749572174347450135759,294,116.0,285.0,184.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.602175633830179178810124837067,295,112.0,286.0,180.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.382484839881075169207512451582,296,105.0,291.0,179.0,343.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.293050983878053284563092176045,297,112.0,289.0,177.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.768626749467950580751960551947,298,109.0,281.0,177.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.146020309176860171948227501204,299,104.0,286.0,180.0,337.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.132075565765410858737802825029,300,113.0,288.0,173.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.226446842598759604341400125351,301,109.0,282.0,184.0,342.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.144378794272983146537987976157,302,114.0,289.0,181.0,339.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.657787946015907081684863829799,303,112.0,284.0,187.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.271020892499565798628601865152,304,108.0,287.0,177.0,334.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.157178938809312179483233090652,305,107.0,289.0,178.0,335.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.289661414659063682047491592493,306,106.0,278.0,178.0,333.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.203663285159157882916609668469,307,101.0,278.0,176.0,333.0
