sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.302256265244623866240868408013,98,293.0,265.0,313.0,288.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.432689950075170607873326318900,99,283.0,257.0,314.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.264377194998388376268345685491,100,294.0,266.0,311.0,288.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.271804049745558892646795525308,101,287.0,261.0,316.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.318584691073217766148053900483,102,283.0,260.0,314.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.323279656687327338822423582924,103,282.0,261.0,312.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.568822599467485461952065509533,104,286.0,262.0,310.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.212316949823385348485001935832,105,284.0,257.0,313.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.686824371587023923358416137827,106,288.0,262.0,312.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.236631448683403863191937343193,107,285.0,258.0,312.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.280768699627117988647664996109,108,284.0,256.0,310.0,287.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.430827846570354266666327652266,109,285.0,253.0,316.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.208609229870617200528386305948,110,283.0,253.0,312.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.127557913305085211100442930639,111,282.0,257.0,316.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.170439023539671044685582360400,112,284.0,254.0,318.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.218803926885756446287130375396,113,285.0,254.0,314.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.293347118893096324505291199856,114,283.0,255.0,314.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.153459974174033635095266191118,115,285.0,257.0,319.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.265505697767564665283581578369,116,285.0,257.0,315.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.204941627339914411355018215321,117,283.0,257.0,317.0,309.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.146921680259636085511823790566,118,279.0,255.0,318.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.305093741802405982231819615132,119,282.0,254.0,323.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.134552701645494103549023731783,120,285.0,261.0,319.0,312.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.232666758794335482018433248284,121,281.0,249.0,323.0,310.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.287475112240614041208762198323,122,286.0,258.0,317.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.238188399061641821917314987049,123,282.0,248.0,316.0,301.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.217481487156838513481015172790,124,284.0,257.0,315.0,303.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.494228314882941988828219425627,125,286.0,259.0,312.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.297461587943116185850941624314,126,286.0,262.0,311.0,304.0
