sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.316264609521884219760082230095,80,205.0,318.0,226.0,353.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.943883406355575881994756040190,81,205.0,304.0,239.0,344.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.132509966395159736466210185311,82,198.0,293.0,241.0,347.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.243384143166790713226428476392,83,199.0,296.0,238.0,351.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.143083283664645778204709040706,84,202.0,296.0,242.0,349.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.164873121304572802651995675730,85,201.0,295.0,244.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.152982831362880292302308842429,86,203.0,300.0,239.0,348.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.968381656309849954070278795830,87,208.0,295.0,241.0,329.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.281504218731421049876864548274,88,205.0,296.0,238.0,324.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.153245622060061439507570462169,89,212.0,297.0,241.0,325.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.319901262226937454854123078172,90,207.0,294.0,240.0,327.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.314913542771329558762804461503,91,204.0,295.0,237.0,329.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.263597011795186256523922800632,92,205.0,296.0,238.0,329.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.178593186498086469908400513936,93,204.0,289.0,236.0,331.0
