sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.310684162947633017129329349889,98,194.0,265.0,221.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.133494967859345263657295415315,99,192.0,265.0,216.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.724798467106562875466642025144,100,194.0,265.0,218.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.112484052536329332109758830139,101,194.0,264.0,217.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.318781076242278920770683115104,102,176.0,244.0,220.0,294.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.425947678592041429501985096396,103,181.0,245.0,217.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.265200832369652105558436226652,104,174.0,238.0,218.0,289.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.322327376837345357072923729745,105,177.0,239.0,219.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.679425100364144607432344823305,106,176.0,245.0,218.0,291.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.181079729083948203846941033393,107,178.0,241.0,219.0,288.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.202052143701016428520751879336,108,173.0,237.0,219.0,288.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.276008635225901812581008964881,109,173.0,238.0,220.0,288.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.332038936400898973858422217711,110,171.0,242.0,220.0,290.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.310108767903260726516723359836,111,173.0,242.0,220.0,292.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100280782003677248707766144853,112,175.0,245.0,217.0,295.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.221608542155153457806168022282,113,173.0,241.0,221.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.193904534647899981884348441856,114,170.0,239.0,220.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.847524078290915792116658726278,115,172.0,245.0,226.0,293.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.610125993375124067733442888194,116,171.0,240.0,224.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.256949134066908181613402385674,117,171.0,239.0,224.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.771164564331115670495304013227,118,170.0,239.0,223.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.459719124936743502816271942708,119,172.0,240.0,224.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.328303821038383402308802020517,120,170.0,239.0,219.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.314706420878421769644463933014,121,167.0,242.0,223.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.225296548081101351663073381522,122,157.0,242.0,222.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.546945678885102331759561995342,123,157.0,240.0,225.0,298.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.201222124349184341999958786319,124,157.0,240.0,222.0,297.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.221051572655861915449091526940,125,161.0,245.0,221.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.155256479480126739787527945880,126,151.0,238.0,222.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.280469151483234031893019176166,127,155.0,241.0,220.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.118110470339440976697046153598,128,165.0,245.0,216.0,296.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.263889025258815320338166758573,129,167.0,256.0,213.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.338330197030557151452546314903,130,164.0,260.0,216.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.176893324198014981830358019085,131,163.0,258.0,213.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.161443969337676307308167955766,132,165.0,260.0,215.0,299.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.322164501949839085250181010641,133,167.0,256.0,213.0,300.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.211930207182869250894993725655,134,165.0,257.0,212.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.136806219084974350155967771837,135,161.0,258.0,212.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.193956226706730413911332138666,136,163.0,259.0,211.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.135406962490480419119041683851,137,163.0,255.0,211.0,302.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.221718660074449107975731741159,138,164.0,256.0,210.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.453938070445331349537768691101,139,163.0,254.0,208.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.258522691283009023086717867158,140,166.0,255.0,210.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.295129177210552413214977486376,141,162.0,252.0,213.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.957750205995341065526688389823,142,175.0,262.0,213.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.219782521384576514573474415149,143,173.0,262.0,211.0,308.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.316904051636863831957552921941,144,167.0,264.0,210.0,306.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.395323901237728646001820663523,145,174.0,260.0,213.0,307.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.251381362983241611904519022104,146,174.0,264.0,215.0,305.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.189122146538841870983656242947,147,175.0,267.0,213.0,304.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.101015175262064832618380179057,148,172.0,273.0,216.0,305.0
