sop,inst,x_min,y_min,x_max,y_max
1.3.6.1.4.1.14519.5.2.1.6655.2359.156553093522447216947857135992,61,287.0,214.0,317.0,241.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.407877208338123071393293312301,62,286.0,206.0,317.0,241.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.294572829896810483692449323616,63,285.0,203.0,319.0,240.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.237110833438920515863954979260,64,282.0,210.0,319.0,240.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.254060623453104321643781402948,65,279.0,208.0,318.0,240.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.120702234682445373580176212139,66,280.0,211.0,319.0,249.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.274033231935378104616789747724,67,278.0,210.0,321.0,246.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.168752943987537830116299055381,68,281.0,213.0,319.0,248.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.100689758084288933796096329727,69,283.0,212.0,320.0,249.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.295210506583148994637706383975,70,284.0,205.0,321.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.967147128244310192962682537612,71,284.0,207.0,322.0,251.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.113704715496549851543770654421,72,283.0,205.0,322.0,254.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.549519838287457222732039938304,73,282.0,203.0,320.0,250.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.190640151237210859580195655267,74,285.0,204.0,321.0,252.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.223437744285299857541015136364,75,281.0,204.0,322.0,256.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.195007988625524622387178380568,76,279.0,205.0,323.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.191286868493964078338587368644,77,282.0,202.0,322.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.324190478985318066173970788451,78,282.0,205.0,324.0,256.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.157400153520730124545916922562,79,279.0,208.0,324.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.205501540024685781850808636455,80,276.0,208.0,324.0,255.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.280833490092498800866088369968,81,279.0,209.0,324.0,254.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.161261757001894481422105781319,82,281.0,209.0,324.0,254.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.320001969826352817659213496905,83,280.0,208.0,323.0,258.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.173965700360153882836078412046,84,277.0,211.0,322.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.161296668092573180009680581248,85,278.0,212.0,322.0,255.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165356884187000362130976520721,86,278.0,212.0,321.0,255.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.313186210194845055702715084749,87,279.0,212.0,321.0,255.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.186721630035833632011145072614,88,278.0,213.0,322.0,254.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.172133326938691982672325995003,89,277.0,215.0,320.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.114841234005231921241491880242,90,279.0,216.0,319.0,255.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.361098504338413899579114510402,91,280.0,216.0,317.0,252.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.446175983828400591149857578010,92,280.0,212.0,321.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.123087858762627162588474629102,93,282.0,217.0,318.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.165110747276766762029234189301,94,284.0,213.0,316.0,251.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.760608996088800765742704716920,95,282.0,216.0,318.0,253.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194837764481396385202896013220,96,281.0,216.0,318.0,251.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.194488226035368218135384958483,97,281.0,218.0,318.0,250.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.281030847726497315114284065291,98,282.0,218.0,318.0,249.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.291859138565821957177435165702,99,282.0,220.0,317.0,250.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.254085147857529860568470579135,100,286.0,218.0,302.0,246.0
1.3.6.1.4.1.14519.5.2.1.6655.2359.195961847862680378787491777166,101,285.0,219.0,302.0,247.0
